contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
TSLA260402C00130000,2026-02-20 19:44:18+00:00,130.0,281.06,259.95,266.35,5.0,5,1,179.49,,329.0847,0.0365
TSLA260402C00150000,2026-03-02 15:42:57+00:00,150.0,250.81,240.15,246.3,1.0,5,1,160.01,400.2801,123.8036,0.0365
TSLA260402C00200000,2026-02-24 16:15:57+00:00,200.0,204.89,190.6,196.45,,1,1,121.88,,196.783,0.0365
TSLA260402C00220000,2026-02-17 14:41:57+00:00,220.0,193.64,171.05,176.55,,1,1,110.82,,194.8087,0.0365
TSLA260402C00230000,2026-03-03 15:42:52+00:00,230.0,157.63,161.15,166.55,1.0,1,1,104.05,386.26,92.8417,0.0365
TSLA260402C00240000,2026-02-19 19:12:47+00:00,240.0,171.5,151.35,156.5,,10,1,97.8,,169.7035,0.0365
TSLA260402C00260000,2026-02-25 16:50:32+00:00,260.0,155.07,132.1,136.4,1.0,3,1,87.5,,174.7905,0.0365
TSLA260402C00265000,2026-03-02 20:48:54+00:00,265.0,138.1,127.5,131.15,3.0,3,1,84.81,401.47,77.3471,0.0365
TSLA260402C00270000,2026-02-25 16:48:14+00:00,270.0,145.15,122.8,126.3,1.0,18,1,83.46,,164.2237,0.0365
TSLA260402C00275000,2026-03-03 14:40:32+00:00,275.0,119.86,118.15,120.95,1.0,7,1,80.08,392.1,81.1979,0.0365
TSLA260402C00280000,2026-03-03 15:38:27+00:00,280.0,109.59,113.4,115.95,1.0,6,1,77.76,386.74,76.1685,0.0365
TSLA260402C00285000,2026-03-03 15:24:50+00:00,285.0,106.16,108.8,110.95,1.0,6,1,75.94,388.17,74.4383,0.0365
TSLA260402C00290000,2026-02-20 18:45:37+00:00,290.0,125.22,104.1,106.05,1.0,1,1,74.01,,134.3811,0.0365
TSLA260402C00295000,2026-02-18 17:41:36+00:00,295.0,122.0,99.3,101.4,,3,1,72.46,,131.3251,0.0365
TSLA260402C00300000,2026-03-02 15:32:53+00:00,300.0,100.51,94.6,96.35,4.0,7,1,69.86,397.96,63.7731,0.0365
TSLA260402C00305000,2026-03-02 19:07:17+00:00,305.0,98.75,89.8,91.7,1.0,3,1,68.09,400.8399,64.8758,0.0365
TSLA260402C00310000,2026-02-24 15:48:43+00:00,310.0,100.0,85.05,86.95,1.0,10,1,66.05,,107.1239,0.0365
TSLA260402C00315000,2026-03-03 15:17:08+00:00,315.0,79.55,80.85,82.3,21.0,2,1,65.49,390.375,62.3105,0.0365
TSLA260402C00320000,2026-03-02 19:06:55+00:00,320.0,84.58,75.75,77.65,1.0,1,1,62.61,401.07,59.3571,0.0365
TSLA260402C00325000,2026-03-02 14:57:34+00:00,325.0,75.2,71.45,72.85,25.0,44,1,61.1,396.406,55.331,0.0365
TSLA260402C00330000,2026-03-03 18:44:42+00:00,330.0,68.82,67.25,68.4,2.0,4,1,60.28,393.94,57.3114,0.0365
TSLA260402C00335000,2026-02-24 16:43:40+00:00,335.0,72.78,62.8,63.95,5.0,7,1,58.72,,79.4854,0.0365
TSLA260402C00345000,2026-03-02 14:30:03+00:00,345.0,53.84,54.15,55.4,1.0,21,1,56.01,389.445,58.6875,0.0365
TSLA260402C00350000,2026-03-03 20:47:41+00:00,350.0,50.0,50.0,50.7,18.0,23,1,53.93,392.0201,53.121,0.0365
TSLA260402C00355000,2026-03-02 15:42:19+00:00,355.0,47.9,45.95,46.7,18.0,34,1,52.81,400.2801,32.4173,0.0365
TSLA260402C00360000,2026-03-03 17:41:39+00:00,360.0,43.15,42.0,42.75,7.0,16,1,51.62,390.97,56.2594,0.0365
TSLA260402C00365000,2026-03-03 17:20:00+00:00,365.0,38.25,38.1,39.4,13.0,16,1,50.97,391.055,51.8617,0.0365
TSLA260402C00370000,2026-03-03 18:39:53+00:00,370.0,36.2,34.65,35.4,39.0,70,1,50.65,394.55,48.6448,0.0365
TSLA260402C00375000,2026-03-03 20:23:09+00:00,375.0,31.2,31.25,31.45,26.0,47,1,48.52,392.09,48.3576,0.0365
TSLA260402C00380000,2026-03-03 20:39:13+00:00,380.0,28.0,28.0,28.15,58.0,33,1,47.61,392.27,47.4961,0.0365
TSLA260402C00385000,2026-03-03 20:49:03+00:00,385.0,24.73,24.9,25.05,209.0,56,1,46.78,392.15,46.5178,0.0365
TSLA260402C00390000,2026-03-03 20:53:40+00:00,390.0,22.26,22.0,22.15,517.0,90,1,46.01,392.5201,46.3197,0.0365
TSLA260402C00395000,2026-03-03 20:59:54+00:00,395.0,19.5,19.4,19.5,601.0,120,0,45.38,392.35,45.7246,0.0365
TSLA260402C00400000,2026-03-03 20:51:33+00:00,400.0,16.95,16.9,17.05,424.0,434,0,44.78,391.96,45.3663,0.0365
TSLA260402C00405000,2026-03-03 20:56:32+00:00,405.0,14.95,14.7,14.8,467.0,312,0,44.2,393.165,44.1744,0.0365
TSLA260402C00410000,2026-03-03 20:57:51+00:00,410.0,13.0,12.6,12.8,220.0,1284,0,43.75,393.165,43.9561,0.0365
TSLA260402C00415000,2026-03-03 20:56:11+00:00,415.0,11.06,10.9,11.0,249.0,1078,0,43.34,392.62,43.7838,0.0365
TSLA260402C00420000,2026-03-03 20:59:56+00:00,420.0,9.36,9.3,9.4,739.0,629,0,42.97,392.35,43.4442,0.0365
TSLA260402C00425000,2026-03-03 20:59:21+00:00,425.0,8.0,7.9,8.05,226.0,487,0,42.8,392.35,43.2862,0.0365
TSLA260402C00430000,2026-03-03 20:55:00+00:00,430.0,6.8,6.65,6.8,486.0,2330,0,42.49,393.0,42.6703,0.0365
TSLA260402C00435000,2026-03-03 20:51:10+00:00,435.0,5.75,5.6,5.75,135.0,338,0,42.32,392.0801,43.1763,0.0365
TSLA260402C00440000,2026-03-03 20:47:23+00:00,440.0,4.65,4.7,4.85,353.0,882,0,42.21,392.0201,42.4579,0.0365
TSLA260402C00445000,2026-03-03 20:58:53+00:00,445.0,4.2,3.95,4.1,164.0,449,0,42.2,392.99,42.9053,0.0365
TSLA260402C00450000,2026-03-03 20:59:55+00:00,450.0,3.4,3.35,3.45,710.0,916,0,42.19,392.35,42.7623,0.0365
TSLA260402C00455000,2026-03-03 20:54:17+00:00,455.0,2.95,2.83,2.88,207.0,360,0,42.14,392.63,43.0683,0.0365
TSLA260402C00460000,2026-03-03 20:45:20+00:00,460.0,2.35,2.37,2.43,363.0,581,0,42.26,392.3726,42.6649,0.0365
TSLA260402C00465000,2026-03-03 20:53:50+00:00,465.0,2.02,2.0,2.04,183.0,237,0,42.35,392.5201,42.9869,0.0365
TSLA260402C00470000,2026-03-03 20:22:49+00:00,470.0,1.67,1.67,1.73,138.0,516,0,42.57,392.015,43.2105,0.0365
TSLA260402C00475000,2026-03-03 20:54:12+00:00,475.0,1.45,1.41,1.46,131.0,362,0,42.75,392.63,43.427,0.0365
TSLA260402C00480000,2026-03-03 20:53:20+00:00,480.0,1.22,1.19,1.24,127.0,562,0,42.99,392.5201,43.6704,0.0365
TSLA260402C00485000,2026-03-03 20:46:53+00:00,485.0,1.01,1.01,1.06,71.0,298,0,43.3,392.33,43.8128,0.0365
TSLA260402C00490000,2026-03-03 20:54:12+00:00,490.0,0.9,0.86,0.91,146.0,300,0,43.64,392.63,44.3751,0.0365
TSLA260402C00495000,2026-03-03 20:41:08+00:00,495.0,0.72,0.74,0.78,56.0,207,0,43.96,392.015,44.4244,0.0365
TSLA260402C00500000,2026-03-03 20:59:02+00:00,500.0,0.64,0.64,0.67,570.0,5435,0,44.29,392.35,44.9276,0.0365
TSLA260402C00505000,2026-03-03 18:17:47+00:00,505.0,0.58,0.55,0.59,13.0,211,0,44.8,392.705,45.4491,0.0365
TSLA260402C00510000,2026-03-03 16:51:48+00:00,510.0,0.48,0.48,0.52,15.0,246,0,45.29,391.87,45.7911,0.0365
TSLA260402C00515000,2026-03-03 14:58:04+00:00,515.0,0.53,0.42,0.46,5.0,201,0,45.78,390.09,48.5685,0.0365
TSLA260402C00520000,2026-03-03 16:41:20+00:00,520.0,0.37,0.37,0.41,32.0,152,0,46.31,391.72,46.7804,0.0365
TSLA260402C00525000,2026-03-03 17:53:11+00:00,525.0,0.33,0.33,0.37,20.0,131,0,46.92,390.88,47.6789,0.0365
TSLA260402C00530000,2026-03-02 14:55:55+00:00,530.0,0.42,0.29,0.33,3.0,61,0,47.41,396.06,47.8318,0.0365
TSLA260402C00535000,2026-03-02 19:29:58+00:00,535.0,0.39,0.27,0.3,13.0,24,0,48.0,402.65,46.3747,0.0365
TSLA260402C00540000,2026-03-02 17:06:21+00:00,540.0,0.3,0.24,0.27,1.0,56,0,48.54,403.6751,45.4832,0.0365
TSLA260402C00545000,2026-03-03 19:35:36+00:00,545.0,0.22,0.22,0.25,101.0,150,0,49.22,391.75,49.7624,0.0365
TSLA260402C00550000,2026-03-03 20:44:57+00:00,550.0,0.22,0.2,0.23,3.0,226,0,49.85,392.2587,50.8106,0.0365
TSLA260402C00555000,2026-03-03 15:31:03+00:00,555.0,0.22,0.18,0.22,4.0,170,0,50.1,388.27,53.16,0.0365
TSLA260402C00560000,2026-03-02 17:19:23+00:00,560.0,0.23,0.17,0.2,28.0,155,0,50.73,403.34,48.6804,0.0365
TSLA260402C00570000,2026-03-03 16:41:20+00:00,570.0,0.16,0.15,0.18,4.0,15,0,52.15,391.72,53.3355,0.0365
TSLA260402C00575000,2026-03-03 15:49:51+00:00,575.0,0.15,0.14,0.17,1.0,17,0,52.83,387.03,55.5214,0.0365
TSLA260402C00580000,2026-02-27 18:55:55+00:00,580.0,0.2,0.13,0.16,10.0,10,0,53.42,398.3899,51.3608,0.0365
TSLA260402C00585000,2026-02-25 15:02:36+00:00,585.0,0.28,0.12,0.15,2.0,3,0,54.0,,54.7697,0.0365
TSLA260402C00590000,2026-02-26 19:32:59+00:00,590.0,0.21,0.11,0.15,,12,0,54.79,408.625,49.7894,0.0365
TSLA260402C00595000,2026-02-25 15:02:23+00:00,595.0,0.22,0.1,0.14,1.0,2,0,55.27,,55.0839,0.0365
TSLA260402C00600000,2026-03-02 17:38:36+00:00,600.0,0.13,0.1,0.13,7.0,20,0,55.96,401.115,54.3679,0.0365
TSLA260402C00605000,2026-03-02 18:14:01+00:00,605.0,0.15,0.09,0.13,2.0,29,0,56.64,402.3799,55.8659,0.0365
TSLA260402C00615000,2026-02-19 14:38:03+00:00,615.0,0.19,0.06,0.12,,5,0,57.32,,53.3996,0.0365
TSLA260402C00620000,2026-03-02 17:11:42+00:00,620.0,0.09,0.07,0.14,2.0,17,0,59.18,403.59,55.2439,0.0365
TSLA260402C00625000,2026-02-19 14:42:56+00:00,625.0,0.15,0.06,0.14,46.0,47,0,59.77,,53.6089,0.0365
TSLA260402C00630000,2026-02-26 18:05:20+00:00,630.0,0.12,0.05,0.13,2.0,8,0,59.96,404.285,55.0526,0.0365
TSLA260402C00640000,2026-02-19 14:46:43+00:00,640.0,0.12,0.03,0.11,,10,0,60.25,,54.6573,0.0365
TSLA260402C00650000,2026-03-03 20:00:04+00:00,650.0,0.06,0.02,0.1,1.0,49,0,60.94,393.465,62.2812,0.0365
TSLA260402C00660000,2026-03-02 14:51:20+00:00,660.0,0.09,0.01,0.09,1.0,3,0,61.52,396.94,64.13,0.0365
TSLA260402C00670000,2026-03-03 17:37:01+00:00,670.0,0.06,0.01,0.08,3.0,9,0,62.5,389.67,66.6126,0.0365
TSLA260402C00680000,2026-03-02 18:49:00+00:00,680.0,0.06,0.04,0.09,18.0,28,0,66.21,400.72,63.9665,0.0365
TSLA260402C00690000,2026-03-03 20:09:38+00:00,690.0,0.05,0.02,0.22,3.0,10,0,72.07,393.4927,67.6795,0.0365
TSLA260402C00700000,2026-03-03 17:24:51+00:00,700.0,0.05,0.01,0.21,2.0,35,0,73.05,392.245,69.4426,0.0365
TSLA260402C00710000,2026-03-03 19:59:03+00:00,710.0,0.05,0.01,0.21,3.0,13,0,74.61,393.49,70.7272,0.0365
TSLA260402C00720000,2026-03-03 17:38:50+00:00,720.0,0.04,0.02,0.22,7.0,9,0,76.76,389.7505,71.7572,0.0365
TSLA260402C00730000,2026-03-03 16:04:18+00:00,730.0,0.21,0.01,0.2,1.0,16,0,77.25,389.06,86.0911,0.0365
TSLA260402C00740000,2026-03-03 20:26:51+00:00,740.0,0.11,0.01,0.2,4.0,24,0,78.71,392.22,81.2752,0.0365
TSLA260402C00750000,2026-03-03 20:28:11+00:00,750.0,0.1,0.01,0.48,11.0,15,0,87.6,392.34,81.9738,0.0365
TSLA260402C00760000,2026-03-03 20:28:11+00:00,760.0,0.03,0.0,0.2,4.0,21,0,81.25,392.34,74.9842,0.0365
TSLA260402C00770000,2026-03-03 20:01:40+00:00,770.0,0.07,0.01,0.2,5.0,15,0,83.01,394.32,81.4867,0.0365
TSLA260402C00780000,2026-03-03 19:56:42+00:00,780.0,0.08,0.01,0.21,15.0,6,0,84.77,393.18,84.2277,0.0365
TSLA260402C00790000,2026-03-03 19:32:58+00:00,790.0,0.07,0.01,0.04,8.0,5,0,75.78,391.75,84.9573,0.0365
TSLA260402C00800000,2026-03-03 19:26:33+00:00,800.0,0.05,0.01,0.1,5.0,2,0,82.03,391.47,83.8473,0.0365
TSLA260402C00820000,2026-03-03 17:27:36+00:00,820.0,0.09,0.0,0.88,6.0,0,0,104.54,391.95,90.7995,0.0365
TSLA260402C00830000,2026-03-03 17:11:53+00:00,830.0,0.17,0.0,0.89,6.0,0,0,106.15,390.1145,98.553,0.0365
TSLA260402C00840000,2026-03-03 15:26:55+00:00,840.0,0.09,0.0,0.41,4.0,3,0,98.63,386.935,94.7531,0.0365
TSLA260402C00850000,2026-03-03 15:02:26+00:00,850.0,0.13,0.0,0.4,1.0,3,0,99.61,390.71,98.2338,0.0365
