contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
AVGO260410C00220000,2026-03-04 17:34:38+00:00,220.0,101.25,97.1,100.8,1.0,11,1,71.24,320.015,60.3383,0.0365
AVGO260410C00245000,2026-02-27 18:28:07+00:00,245.0,75.93,72.9,77.5,2.0,2,1,62.74,317.06,61.9048,0.0365
AVGO260410C00280000,2026-03-04 19:51:42+00:00,280.0,48.45,44.2,47.5,47.0,9,1,57.94,320.8775,56.5935,0.0365
AVGO260410C00295000,2026-03-04 20:41:40+00:00,295.0,36.45,33.55,36.9,1.0,2,1,56.31,319.11,56.1523,0.0365
AVGO260410C00300000,2026-03-04 18:32:30+00:00,300.0,33.84,30.3,34.1,2.0,5,1,56.32,320.5,54.8948,0.0365
AVGO260410C00305000,2026-03-04 17:19:17+00:00,305.0,31.8,27.25,29.45,2.0,1,1,53.75,320.22,57.9568,0.0365
AVGO260410C00310000,2026-03-04 19:53:54+00:00,310.0,27.82,24.95,28.25,19.0,34,1,56.12,320.8091,54.009,0.0365
AVGO260410C00315000,2026-03-04 20:56:08+00:00,315.0,23.74,22.5,25.15,140.0,94,1,55.43,317.54,55.2201,0.0365
AVGO260410C00320000,2026-03-04 20:56:08+00:00,320.0,21.02,19.75,21.65,145.0,31,0,53.47,317.54,54.3185,0.0365
AVGO260410C00325000,2026-03-04 20:48:40+00:00,325.0,19.09,17.0,20.75,47.0,28,0,54.26,317.83,54.5964,0.0365
AVGO260410C00330000,2026-03-04 20:58:52+00:00,330.0,16.73,14.9,17.5,64.0,73,0,52.55,317.57,54.0417,0.0365
AVGO260410C00335000,2026-03-04 20:58:21+00:00,335.0,14.83,13.55,15.9,12.0,16,0,53.37,317.57,53.8867,0.0365
AVGO260410C00340000,2026-03-04 20:54:50+00:00,340.0,13.35,12.3,13.4,27.0,31,0,52.8,318.4,53.5599,0.0365
AVGO260410C00345000,2026-03-04 20:29:02+00:00,345.0,11.95,9.95,11.8,8.0,5,0,51.51,319.55,52.8337,0.0365
AVGO260410C00350000,2026-03-04 20:57:27+00:00,350.0,10.03,9.25,10.5,58.0,88,0,52.42,317.64,53.1866,0.0365
AVGO260410C00355000,2026-03-04 19:25:54+00:00,355.0,9.6,7.8,10.35,8.0,25,0,53.59,321.7312,51.9325,0.0365
AVGO260410C00360000,2026-03-04 20:54:10+00:00,360.0,7.6,6.6,9.55,28.0,33,0,53.89,318.4,52.2742,0.0365
AVGO260410C00365000,2026-03-04 20:50:01+00:00,365.0,6.85,5.35,6.85,37.0,34,0,50.72,316.76,54.2972,0.0365
AVGO260410C00370000,2026-03-04 20:50:49+00:00,370.0,5.62,4.9,6.4,84.0,57,0,52.02,316.76,53.0468,0.0365
AVGO260410C00375000,2026-03-04 20:11:39+00:00,375.0,5.3,3.0,5.5,32.0,86,0,54.2,321.0488,51.6238,0.0365
AVGO260410C00380000,2026-03-04 20:54:06+00:00,380.0,4.15,3.85,4.3,133.0,43,0,51.38,318.4,51.7354,0.0365
AVGO260410C00385000,2026-03-04 17:59:04+00:00,385.0,3.84,1.72,3.6,101.0,54,0,51.79,320.74,51.3476,0.0365
AVGO260410C00390000,2026-03-04 20:35:10+00:00,390.0,3.41,2.06,3.2,14.0,29,0,52.3,318.805,53.162,0.0365
AVGO260410C00395000,2026-03-04 19:07:13+00:00,395.0,2.75,0.66,3.05,17.0,63,0,53.78,321.525,50.5943,0.0365
AVGO260410C00400000,2026-03-04 20:59:59+00:00,400.0,2.13,1.28,2.5,131.0,6,0,53.08,317.44,51.7567,0.0365
AVGO260410C00420000,2026-03-04 20:24:33+00:00,420.0,1.28,0.93,1.67,42.0,4,0,52.75,319.16,52.5559,0.0365
AVGO260410C00440000,2026-03-04 16:37:15+00:00,440.0,0.64,0.46,0.95,34.0,7,0,53.17,319.8782,52.0063,0.0365
