contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
GLD260309C00360000,2026-02-26 15:34:27+00:00,360.0,114.15,110.75,113.9,,1,1,107.23,,105.1753,0.0365,
GLD260309C00375000,2026-02-26 15:35:50+00:00,375.0,99.65,96.0,98.7,,4,1,93.95,,97.1588,0.0365,
GLD260309C00405000,2026-02-25 20:58:20+00:00,405.0,69.35,65.95,69.05,,1,1,69.7,,65.7858,0.0365,
GLD260309C00420000,2026-03-02 20:15:45+00:00,420.0,71.5,51.35,53.85,3.0,13,1,57.42,490.865,62.4653,0.0365,34.61
GLD260309C00435000,2026-03-03 20:47:42+00:00,435.0,35.94,36.95,39.15,19.0,20,1,58.02,469.245,52.2491,0.0365,38.56
GLD260309C00440000,2026-03-04 14:36:36+00:00,440.0,36.6,32.15,34.4,1.0,8,1,54.08,475.8175,46.0003,0.0365,36.96
GLD260309C00445000,2026-03-03 15:57:45+00:00,445.0,25.88,27.8,29.55,4.0,5,1,49.12,467.88,47.8099,0.0365,39.17
GLD260309C00447000,2026-03-04 20:19:39+00:00,447.0,25.99,26.0,27.75,1.0,12,1,47.95,471.23,45.8254,0.0365,37.12
GLD260309C00448000,2026-02-23 15:06:45+00:00,448.0,32.81,25.05,26.85,,2,1,47.33,,51.4618,0.0365,
GLD260309C00449000,2026-03-04 20:19:39+00:00,449.0,24.24,24.15,25.75,1.0,3,1,45.46,471.23,45.3234,0.0365,37.12
GLD260309C00450000,2026-03-04 18:54:42+00:00,450.0,24.07,23.25,25.05,12.0,44,1,45.97,471.4,49.0351,0.0365,37.33
GLD260309C00455000,2026-03-04 20:38:50+00:00,455.0,20.0,19.0,20.8,3.0,12,1,43.43,472.36,43.1323,0.0365,36.93
GLD260309C00456000,2026-03-02 18:19:18+00:00,456.0,32.98,18.1,19.85,2.0,6,1,42.29,487.28,42.1938,0.0365,34.49
GLD260309C00457000,2026-03-02 14:47:19+00:00,457.0,33.85,17.35,19.0,2.0,2,1,41.63,490.175,31.8466,0.0365,35.06
GLD260309C00458000,2026-03-02 20:16:14+00:00,458.0,34.33,16.5,18.2,12.0,17,1,41.19,490.3479,45.6254,0.0365,34.65
GLD260309C00459000,2026-03-04 16:44:08+00:00,459.0,17.5,15.75,17.35,1.0,4,1,40.44,472.855,43.2931,0.0365,37.0
GLD260309C00460000,2026-03-04 20:17:42+00:00,460.0,15.5,15.0,16.3,20.0,125,1,38.71,471.07,44.1236,0.0365,37.12
GLD260309C00461000,2026-03-03 15:19:06+00:00,461.0,10.59,14.5,15.5,2.0,4,1,38.14,461.63,45.5016,0.0365,39.76
GLD260309C00462000,2026-03-04 14:41:13+00:00,462.0,15.9,13.6,14.75,3.0,4,1,37.76,475.71,33.1432,0.0365,37.02
GLD260309C00463000,2026-03-03 18:54:41+00:00,463.0,15.45,12.8,14.15,15.0,13,1,37.98,472.01,45.6121,0.0365,38.39
GLD260309C00464000,2026-03-04 20:14:57+00:00,464.0,12.5,12.2,13.25,5.0,48,1,36.79,471.34,41.1404,0.0365,37.11
GLD260309C00465000,2026-03-04 20:25:19+00:00,465.0,12.0,11.35,12.55,61.0,159,1,36.45,471.665,40.7454,0.0365,37.12
GLD260309C00466000,2026-03-04 20:45:40+00:00,466.0,11.5,10.75,12.3,18.0,43,1,37.98,472.4499,38.8026,0.0365,36.87
GLD260309C00467000,2026-03-04 21:05:30+00:00,467.0,10.7,10.35,11.1,5.0,23,1,35.34,471.75,40.1509,0.0365,36.5
GLD260309C00468000,2026-03-04 17:28:52+00:00,468.0,10.2,9.8,10.35,22.0,34,1,34.58,471.86,39.4907,0.0365,37.3
GLD260309C00469000,2026-03-04 19:03:37+00:00,469.0,9.7,9.2,9.75,35.0,16,1,34.39,471.43,41.3324,0.0365,37.33
GLD260309C00470000,2026-03-04 20:27:02+00:00,470.0,9.0,8.6,9.15,190.0,141,1,34.12,472.02,39.164,0.0365,37.12
GLD260309C00471000,2026-03-04 20:53:56+00:00,471.0,8.0,8.0,8.55,54.0,45,1,33.78,471.87,37.2809,0.0365,36.55
GLD260309C00472000,2026-03-04 20:59:36+00:00,472.0,7.42,7.45,8.0,94.0,271,0,33.56,471.75,37.2236,0.0365,36.5
GLD260309C00473000,2026-03-04 20:59:20+00:00,473.0,6.93,6.95,7.5,98.0,56,0,33.47,471.75,37.1731,0.0365,36.5
GLD260309C00474000,2026-03-04 21:09:26+00:00,474.0,6.95,6.45,7.0,50.0,173,0,33.29,471.75,39.6094,0.0365,36.5
GLD260309C00475000,2026-03-04 20:58:16+00:00,475.0,6.07,6.2,6.5,248.0,298,0,33.03,471.63,37.622,0.0365,36.53
GLD260309C00476000,2026-03-04 20:54:35+00:00,476.0,5.64,5.5,6.05,33.0,199,0,32.9,472.005,36.7262,0.0365,36.58
GLD260309C00477000,2026-03-04 20:37:15+00:00,477.0,5.35,5.1,5.65,226.0,68,0,32.9,472.42,36.3678,0.0365,36.98
GLD260309C00480000,2026-03-04 21:04:36+00:00,480.0,4.2,4.0,4.45,330.0,305,0,32.37,471.75,37.4502,0.0365,36.5
GLD260309C00485000,2026-03-04 21:10:23+00:00,485.0,2.84,2.61,3.05,406.0,797,0,32.58,471.75,37.8076,0.0365,36.5
GLD260309C00490000,2026-03-04 20:52:16+00:00,490.0,1.85,1.73,1.99,329.0,730,0,32.56,472.02,37.6251,0.0365,36.57
GLD260309C00495000,2026-03-04 21:09:37+00:00,495.0,1.25,1.1,1.38,267.0,1250,0,33.53,471.75,39.1003,0.0365,36.5
GLD260309C00500000,2026-03-04 21:14:00+00:00,500.0,0.88,0.62,0.88,443.0,899,0,33.79,471.75,40.6531,0.0365,36.5
GLD260309C00505000,2026-03-04 20:48:20+00:00,505.0,0.59,0.4,0.68,56.0,418,0,35.74,472.1,41.2111,0.0365,36.79
GLD260309C00510000,2026-03-04 20:52:16+00:00,510.0,0.39,0.29,0.5,230.0,437,0,37.16,472.02,42.2333,0.0365,36.57
GLD260309C00515000,2026-03-04 20:57:58+00:00,515.0,0.28,0.2,0.37,134.0,472,0,38.5,471.85,43.9627,0.0365,36.55
GLD260309C00520000,2026-03-04 20:13:57+00:00,520.0,0.17,0.09,0.31,18.0,244,0,40.63,471.4,44.4656,0.0365,37.12
GLD260309C00525000,2026-03-04 18:41:53+00:00,525.0,0.11,0.07,0.2,10.0,343,0,40.92,470.09,45.8964,0.0365,37.28
GLD260309C00530000,2026-03-04 16:46:15+00:00,530.0,0.14,0.06,0.19,9.0,160,0,43.56,473.25,47.9689,0.0365,36.95
GLD260309C00540000,2026-03-04 17:55:49+00:00,540.0,0.08,0.01,0.2,8.0,45,0,49.81,472.68,51.5569,0.0365,37.39
GLD260309C00545000,2026-03-04 16:22:51+00:00,545.0,0.1,0.0,0.17,7.0,12,0,51.47,472.49,55.9006,0.0365,36.77
GLD260309C00595000,2026-03-03 20:58:02+00:00,595.0,0.07,0.0,0.21,1.0,11,0,72.85,468.17,77.5165,0.0365,38.81
GLD260309C00615000,2026-03-04 18:48:18+00:00,615.0,0.04,0.0,0.05,1.0,14,0,71.09,471.5918,88.3531,0.0365,37.34
