contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
META261016P00330000,2026-02-25 15:05:59+00:00,330.0,3.77,2.09,3.1,,1,0,51.36,,54.2463,0.0365
META261016P00430000,2026-03-04 17:45:07+00:00,430.0,8.0,7.4,8.7,35.0,7,0,43.66,666.6355,44.4826,0.0365
META261016P00440000,2026-02-26 18:58:49+00:00,440.0,9.61,8.3,9.65,,45,0,43.07,,44.4639,0.0365
META261016P00450000,2026-03-04 17:31:42+00:00,450.0,9.99,9.6,10.55,2.0,32,0,42.34,667.73,43.663,0.0365
META261016P00460000,2026-03-03 18:46:37+00:00,460.0,12.3,10.45,11.5,3.0,3,0,41.59,657.625,43.3725,0.0365
META261016P00470000,2026-02-26 19:30:03+00:00,470.0,13.02,11.65,13.05,,25,0,41.4,,42.9762,0.0365
META261016P00530000,2026-03-03 20:37:07+00:00,530.0,25.3,21.55,23.1,20.0,22,0,38.51,654.2426,40.7545,0.0365
META261016P00560000,2026-02-25 15:48:17+00:00,560.0,33.28,28.55,30.35,,8,0,37.37,,41.4095,0.0365
META261016P00590000,2026-02-26 19:30:21+00:00,590.0,39.14,37.45,38.75,1.0,1,0,36.03,,38.8115,0.0365
META261016P00610000,2026-02-26 14:43:59+00:00,610.0,47.3,44.05,45.95,,5,0,35.53,,39.037,0.0365
META261016P00620000,2026-02-26 14:43:59+00:00,620.0,51.25,47.75,49.6,,16,0,35.15,,38.9194,0.0365
META261016P00630000,2026-02-26 14:45:08+00:00,630.0,54.81,51.65,53.6,,18,0,34.85,,38.5037,0.0365
META261016P00640000,2026-03-04 20:58:42+00:00,640.0,56.61,55.75,57.6,4.0,19,0,34.44,667.98,37.5798,0.0365
META261016P00650000,2026-02-26 14:45:08+00:00,650.0,63.86,60.1,62.1,,29,0,34.18,,38.3804,0.0365
META261016P00660000,2026-02-26 14:45:08+00:00,660.0,68.77,64.65,66.6,,26,0,33.82,,38.3656,0.0365
META261016P00670000,2026-03-03 20:36:07+00:00,670.0,76.45,69.65,71.4,15.0,26,1,33.5,654.3,37.1453,0.0365
META261016P00680000,2026-03-04 20:14:23+00:00,680.0,75.85,74.7,76.25,7.0,1,1,33.1,666.06,36.7916,0.0365
