contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
NVDA260304P00115000,2026-03-03 14:41:42+00:00,115.0,0.01,0.0,0.01,1.0,1516,0,281.25,178.9405,286.9851,0.0365
NVDA260304P00120000,2026-03-04 15:23:58+00:00,120.0,0.01,0.0,0.01,21.0,689,0,262.5,182.8,273.6275,0.0365
NVDA260304P00125000,2026-03-02 14:36:48+00:00,125.0,0.01,0.0,0.01,32.0,266,0,237.5,179.68,202.495,0.0365
NVDA260304P00130000,2026-03-03 14:51:21+00:00,130.0,0.01,0.0,0.01,7.0,2944,0,212.5,179.3699,213.8273,0.0365
NVDA260304P00135000,2026-03-03 16:50:25+00:00,135.0,0.01,0.0,0.01,1.0,2788,0,187.5,180.084,193.0035,0.0365
NVDA260304P00140000,2026-03-04 19:18:37+00:00,140.0,0.01,0.0,0.01,21.0,619,0,168.75,184.58,185.3522,0.0365
NVDA260304P00145000,2026-03-04 20:51:49+00:00,145.0,0.01,0.0,0.01,171.0,3455,0,150.0,182.675,157.3477,0.0365
NVDA260304P00150000,2026-03-04 14:30:03+00:00,150.0,0.01,0.0,0.01,2.0,13301,0,128.13,180.325,128.1113,0.0365
NVDA260304P00155000,2026-03-04 20:50:02+00:00,155.0,0.01,0.0,0.01,467.0,3382,0,109.38,182.805,115.8,0.0365
NVDA260304P00160000,2026-03-04 20:32:06+00:00,160.0,0.01,0.0,0.01,3004.0,28594,0,90.63,182.8422,95.5631,0.0365
NVDA260304P00165000,2026-03-04 20:57:05+00:00,165.0,0.01,0.0,0.01,5767.0,9457,0,71.88,183.145,76.5591,0.0365
NVDA260304P00170000,2026-03-04 20:58:39+00:00,170.0,0.01,0.0,0.01,12081.0,15608,0,53.13,182.91,55.7874,0.0365
NVDA260304P00175000,2026-03-04 20:59:38+00:00,175.0,0.01,0.0,0.01,24971.0,21304,0,35.94,182.91,35.7373,0.0365
NVDA260304P00180000,2026-03-04 20:59:58+00:00,180.0,0.02,0.02,0.03,86494.0,15179,0,18.56,182.91,16.6795,0.0365
NVDA260304P00185000,2026-03-04 20:59:39+00:00,185.0,2.0,2.03,2.1,39402.0,8513,1,19.34,182.91,,0.0365
NVDA260304P00190000,2026-03-04 20:56:36+00:00,190.0,6.9,6.95,7.1,678.0,1361,1,47.85,183.145,40.1049,0.0365
NVDA260304P00195000,2026-03-04 20:43:13+00:00,195.0,12.35,11.95,12.1,27.0,63,1,62.89,183.055,93.1631,0.0365
NVDA260304P00200000,2026-03-04 20:46:01+00:00,200.0,16.75,16.9,17.15,30.0,36,1,83.2,182.89,,0.0365
NVDA260304P00205000,2026-03-04 20:50:00+00:00,205.0,22.05,21.85,22.15,4.0,4,1,96.09,182.805,,0.0365
NVDA260304P00210000,2026-03-04 20:49:02+00:00,210.0,26.8,26.85,27.1,2.0,5,1,101.56,183.095,,0.0365
NVDA260304P00215000,2026-03-04 16:12:15+00:00,215.0,32.8,31.85,32.15,2.0,0,1,129.69,182.03,,0.0365
NVDA260304P00220000,2026-03-04 16:12:17+00:00,220.0,37.85,35.85,38.05,2.0,0,1,258.69,182.03,,0.0365
NVDA260304P00225000,2026-03-02 15:51:56+00:00,225.0,43.89,40.3,43.5,3.0,0,1,307.52,180.865,,0.0365
NVDA260304P00230000,2026-03-02 15:51:56+00:00,230.0,48.85,44.5,49.25,2.0,0,1,368.65,180.865,,0.0365
NVDA260304P00235000,2026-02-26 14:58:46+00:00,235.0,45.6,49.5,54.4,,0,1,399.02,,,0.0365
NVDA260304P00240000,2026-02-26 20:51:59+00:00,240.0,55.05,54.5,59.3,,0,1,416.6,,,0.0365
NVDA260304P00245000,2026-02-26 20:51:59+00:00,245.0,60.05,59.5,64.4,,0,1,443.26,,,0.0365
NVDA260304P00250000,2026-02-26 20:51:59+00:00,250.0,65.07,64.5,69.4,,0,1,464.16,,,0.0365
NVDA260304P00260000,2026-03-04 17:39:29+00:00,260.0,77.3,75.3,78.5,2.0,0,1,450.49,182.835,303.4001,0.0365
