contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
IWM270917P00120000,2026-01-22 14:34:07+00:00,120.0,1.42,0.01,5.0,,12,0,49.16,,37.9694,0.0365
IWM270917P00145000,2026-02-06 14:56:41+00:00,145.0,2.7,0.5,5.5,4.0,6,0,40.14,,35.2114,0.0365
IWM270917P00150000,2026-02-09 16:15:45+00:00,150.0,2.77,0.5,5.5,2.0,8,0,38.29,,33.9313,0.0365
IWM270917P00160000,2026-03-03 19:50:48+00:00,160.0,3.78,1.5,4.39,5.0,37,0,32.51,260.78,33.8795,0.0365
IWM270917P00175000,2025-11-19 20:11:34+00:00,175.0,7.91,5.21,5.79,,17,0,30.3,,34.6689,0.0365
IWM270917P00180000,2026-02-19 15:04:05+00:00,180.0,5.51,4.56,8.0,9.0,11,0,32.13,,31.1201,0.0365
IWM270917P00185000,2026-03-04 18:51:33+00:00,185.0,6.07,5.15,8.5,470.0,126,0,31.16,262.1615,30.9142,0.0365
IWM270917P00190000,2026-03-04 18:47:22+00:00,190.0,6.45,6.31,7.48,228.0,32,0,28.1,261.955,29.9653,0.0365
IWM270917P00195000,2026-03-04 18:57:18+00:00,195.0,7.44,6.46,9.45,217.0,102,0,29.08,261.94,29.9344,0.0365
IWM270917P00200000,2026-03-04 21:01:05+00:00,200.0,8.31,6.0,10.53,370.0,7516,0,28.74,261.74,29.5761,0.0365
IWM270917P00205000,2026-03-04 18:51:59+00:00,205.0,9.02,8.04,11.5,308.0,358,0,28.17,262.125,29.035,0.0365
IWM270917P00210000,2026-03-04 18:51:33+00:00,210.0,9.92,8.94,10.95,76.0,7740,0,25.89,262.1615,28.607,0.0365
IWM270917P00215000,2026-03-04 18:50:12+00:00,215.0,10.9,8.5,11.95,3.0,5207,0,25.3,262.16,28.1915,0.0365
IWM270917P00220000,2026-03-04 18:52:00+00:00,220.0,11.89,10.99,14.5,73.0,214,0,26.17,262.1615,27.7137,0.0365
IWM270917P00225000,2026-03-04 18:50:12+00:00,225.0,12.97,12.16,16.0,153.0,7,0,25.86,262.16,27.2617,0.0365
IWM270917P00230000,2026-03-04 18:47:30+00:00,230.0,14.26,13.42,15.44,146.0,5002,0,23.57,261.97,26.906,0.0365
IWM270917P00235000,2026-03-04 18:51:33+00:00,235.0,15.58,14.79,16.96,58.0,7,0,23.15,262.1615,26.5868,0.0365
IWM270917P00240000,2026-03-04 18:52:00+00:00,240.0,17.14,16.3,18.41,71.0,1038,0,22.59,262.1615,26.3674,0.0365
IWM270917P00245000,2026-03-04 18:51:33+00:00,245.0,18.79,17.91,20.02,106.0,4008,0,22.07,262.1615,26.1412,0.0365
IWM270917P00250000,2026-03-04 18:51:33+00:00,250.0,20.53,19.71,21.92,6.0,1005,0,21.7,262.1615,25.9074,0.0365
IWM270917P00255000,2026-03-04 18:50:12+00:00,255.0,22.43,21.49,23.9,126.0,28,0,21.28,262.16,25.7238,0.0365
IWM270917P00260000,2026-03-04 18:47:30+00:00,260.0,24.5,23.57,25.9,85.0,5007,0,20.78,261.97,25.5388,0.0365
IWM270917P00265000,2026-03-04 18:51:33+00:00,265.0,26.56,25.5,27.83,239.0,194,1,20.13,262.1615,25.3719,0.0365
IWM270917P00270000,2026-03-04 17:34:39+00:00,270.0,29.44,27.99,30.32,119.0,7,1,19.8,262.025,25.6733,0.0365
IWM270917P00275000,2026-03-04 17:22:57+00:00,275.0,31.8,30.44,32.6,119.0,1,1,19.2,261.91,25.4754,0.0365
IWM270917P00280000,2026-03-02 19:19:58+00:00,280.0,33.59,32.79,35.24,1.0,20,1,18.75,263.62,25.3641,0.0365
IWM270917P00285000,2026-02-19 16:00:07+00:00,285.0,37.16,35.48,38.41,4.0,2,1,18.6,,25.2258,0.0365
IWM270917P00290000,2026-02-19 16:00:40+00:00,290.0,40.33,38.0,42.5,,1,1,19.09,,25.4561,0.0365
IWM270917P00295000,2026-02-09 17:30:53+00:00,295.0,40.29,41.0,46.0,,1,1,19.0,,23.0943,0.0365
IWM270917P00300000,2026-02-19 16:01:28+00:00,300.0,45.95,44.0,49.0,,2,1,18.38,,25.1445,0.0365
IWM270917P00305000,2026-01-12 14:55:33+00:00,305.0,50.96,48.0,52.79,2.0,32,1,18.31,,26.2825,0.0365
IWM270917P00310000,2026-02-19 16:01:48+00:00,310.0,52.4,51.5,56.0,2.0,2,1,17.59,,25.1878,0.0365
IWM270917P00315000,2026-01-15 17:18:26+00:00,315.0,53.65,55.0,60.0,1.0,3,1,17.48,,23.4329,0.0365
IWM270917P00320000,2026-01-15 17:18:26+00:00,320.0,57.36,59.0,64.0,,1,1,17.26,,23.6778,0.0365
IWM270917P00340000,2026-01-20 17:23:41+00:00,340.0,76.42,76.5,81.5,,0,1,17.08,,27.5679,0.0365
IWM270917P00345000,2026-01-20 17:23:41+00:00,345.0,81.04,81.0,86.0,,0,1,16.97,,28.3474,0.0365
