contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
SPY260618C00245000,2026-03-04 19:28:01+00:00,245.0,443.84,440.02,443.59,3.0,9,1,94.31,686.66,,0.0365,20.59
SPY260618C00250000,2026-03-04 19:17:12+00:00,250.0,439.02,435.09,438.66,5.0,45,1,93.19,686.92,,0.0365,20.48
SPY260618C00255000,2026-03-04 19:15:09+00:00,255.0,433.24,430.16,433.71,1.0,18,1,91.98,686.93,,0.0365,20.5
SPY260618C00260000,2026-03-04 16:59:47+00:00,260.0,427.13,425.23,428.8,2.0,7,1,90.94,685.78,,0.0365,20.86
SPY260618C00265000,2026-03-04 19:16:43+00:00,265.0,423.33,420.3,423.87,5.0,31,1,89.82,686.85,,0.0365,20.49
SPY260618C00270000,2026-03-04 20:00:47+00:00,270.0,419.3,415.37,418.94,3.0,10,1,88.71,686.7,,0.0365,20.6
SPY260618C00275000,2026-03-04 19:59:30+00:00,275.0,414.41,410.44,414.02,3.0,6,1,87.62,686.7,,0.0365,20.6
SPY260618C00280000,2026-03-04 18:21:56+00:00,280.0,407.35,405.51,409.09,2.0,4,1,86.52,685.73,,0.0365,20.9
SPY260618C00285000,2026-03-04 19:58:21+00:00,285.0,404.51,400.58,404.16,5.0,108,1,85.41,686.84,,0.0365,20.59
SPY260618C00290000,2026-03-04 17:40:13+00:00,290.0,398.37,395.65,399.24,1.0,248,1,84.34,686.2,,0.0365,20.88
SPY260618C00295000,2026-03-04 17:41:39+00:00,295.0,393.46,390.73,394.31,1.0,355,1,83.28,685.71,,0.0365,20.99
SPY260618C00300000,2026-03-04 19:57:56+00:00,300.0,389.76,385.8,389.39,5.0,432,1,82.21,686.835,,0.0365,20.63
SPY260618C00305000,2026-03-04 17:41:04+00:00,305.0,383.76,380.87,384.47,1.0,552,1,81.15,686.01,,0.0365,20.93
SPY260618C00310000,2026-02-25 14:49:08+00:00,310.0,384.52,375.95,379.55,1.0,84,1,80.13,,93.0495,0.0365,
SPY260618C00315000,2026-03-04 19:11:57+00:00,315.0,374.91,371.02,374.63,1.0,55,1,79.07,686.76,,0.0365,20.55
SPY260618C00320000,2026-03-04 19:58:09+00:00,320.0,369.18,366.1,369.71,3.0,23,1,78.05,686.84,,0.0365,20.59
SPY260618C00325000,2026-03-04 19:58:44+00:00,325.0,365.22,361.18,364.79,3.0,63,1,77.03,686.84,,0.0365,20.59
SPY260618C00330000,2026-03-03 15:40:13+00:00,330.0,345.54,356.26,359.87,2.0,12,1,76.01,672.09,,0.0365,26.84
SPY260618C00335000,2026-03-03 15:56:36+00:00,335.0,340.04,351.34,354.95,2.0,10,1,74.99,671.4699,41.9657,0.0365,27.23
SPY260618C00340000,2026-03-03 15:58:24+00:00,340.0,334.9,346.42,350.04,2.0,135,1,74.0,671.93,,0.0365,27.0
SPY260618C00345000,2026-03-04 19:57:04+00:00,345.0,345.56,341.51,345.12,1.0,157,1,73.02,686.835,47.5976,0.0365,20.63
SPY260618C00350000,2026-03-04 17:48:18+00:00,350.0,338.85,336.59,340.21,2.0,206,1,72.03,686.06,,0.0365,20.91
SPY260618C00355000,2026-03-03 19:20:48+00:00,355.0,328.97,331.68,335.3,1.0,388,1,71.07,681.33,,0.0365,22.67
SPY260618C00360000,2026-01-22 15:02:12+00:00,360.0,334.05,326.76,330.39,2.0,105,1,70.09,,61.9755,0.0365,
