contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
QQQ260630C00395000,2026-02-23 20:56:55+00:00,395.0,213.1,217.14,220.87,6.0,20,1,53.31,,,0.0364,
QQQ260630C00400000,2026-02-24 17:30:02+00:00,400.0,215.0,212.31,216.07,20.0,51,1,52.5,,38.3005,0.0364,
QQQ260630C00405000,2026-03-02 15:55:48+00:00,405.0,205.92,207.48,211.28,11.0,50,1,51.69,605.13,37.0285,0.0364,25.89
QQQ260630C00410000,2026-02-26 18:22:48+00:00,410.0,202.42,202.67,206.42,2.0,47,1,50.81,,,0.0364,
QQQ260630C00415000,2026-02-26 18:22:48+00:00,415.0,197.58,197.86,201.64,2.0,19,1,50.02,,,0.0364,
QQQ260630C00420000,2025-12-31 15:20:30+00:00,420.0,207.0,208.4,211.65,,11,1,73.14,,48.3981,0.0364,
QQQ260630C00425000,2026-02-23 15:14:14+00:00,425.0,186.45,188.27,192.04,1.0,17,1,52.03,,,0.0364,
QQQ260630C00430000,2025-07-08 16:06:39+00:00,430.0,148.3,160.54,164.33,,1,1,0.0,,,0.0364,
QQQ260630C00435000,2026-01-20 14:30:10+00:00,435.0,186.59,178.73,182.5,1.0,2,1,50.24,,40.0283,0.0364,
QQQ260630C00440000,2026-01-09 16:29:31+00:00,440.0,194.9,171.85,174.44,1.0,22,1,43.27,,54.5516,0.0364,
QQQ260630C00445000,2026-01-30 20:56:13+00:00,445.0,185.62,169.24,173.03,2.0,6,1,48.53,,52.5734,0.0364,
QQQ260630C00450000,2026-02-27 18:42:54+00:00,450.0,163.43,164.52,168.31,4.0,55,1,47.68,,,0.0364,
QQQ260630C00455000,2026-01-30 20:57:02+00:00,455.0,175.79,159.81,163.64,3.0,13,1,46.9,,50.0652,0.0364,
QQQ260630C00460000,2026-03-02 15:45:09+00:00,460.0,154.29,155.12,158.94,10.0,31,1,46.06,605.99,33.3128,0.0364,25.7
QQQ260630C00465000,2026-02-20 15:02:28+00:00,465.0,152.26,150.45,154.25,1.0,22,1,45.22,,30.2919,0.0364,
QQQ260630C00470000,2026-01-14 16:47:21+00:00,470.0,158.42,145.79,149.61,6.0,33,1,44.44,,40.4367,0.0364,
QQQ260630C00475000,2025-12-19 17:27:30+00:00,475.0,155.38,156.22,158.81,1.0,5,1,58.7,,37.5479,0.0364,
QQQ260630C00480000,2026-03-04 14:53:37+00:00,480.0,135.74,136.55,140.18,1.0,11,1,42.63,605.9901,32.3796,0.0364,26.03
QQQ260630C00485000,2026-01-26 19:48:00+00:00,485.0,152.92,131.96,135.79,93.0,74,1,42.13,,48.7441,0.0364,
QQQ260630C00490000,2026-02-04 15:44:00+00:00,490.0,133.64,127.39,131.22,5.0,13,1,41.36,,33.2085,0.0364,
