contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
TSLA260918P00005000,2026-03-02 14:57:34+00:00,5.0,0.01,0.0,0.01,22.0,912,0,175.0,396.406,187.1232,0.0364
TSLA260918P00010000,2026-02-11 20:59:19+00:00,10.0,0.02,0.01,0.02,71.0,794,0,159.38,,157.3433,0.0364
TSLA260918P00015000,2026-02-13 19:57:47+00:00,15.0,0.04,0.0,0.04,22.0,860,0,144.53,,148.179,0.0364
TSLA260918P00020000,2026-03-05 14:44:49+00:00,20.0,0.04,0.02,0.05,5.0,2714,0,137.5,404.58,140.811,0.0364
TSLA260918P00025000,2026-03-03 14:57:30+00:00,25.0,0.12,0.0,0.28,1.0,4550,0,145.51,390.09,142.494,0.0364
TSLA260918P00030000,2026-01-29 16:10:36+00:00,30.0,0.05,0.0,0.65,8.0,684,0,149.61,,114.0076,0.0364
TSLA260918P00035000,2026-02-03 14:42:20+00:00,35.0,0.1,0.05,0.26,2.0,1356,0,128.52,,115.7318,0.0364
TSLA260918P00040000,2026-01-15 14:30:34+00:00,40.0,0.1,0.05,0.17,6.0,811,0,116.8,,105.0237,0.0364
TSLA260918P00045000,2026-01-16 20:30:31+00:00,45.0,0.1,0.09,0.19,2.0,159,0,113.48,,99.8362,0.0364
TSLA260918P00050000,2026-02-27 20:24:03+00:00,50.0,0.17,0.13,0.21,12.0,860,0,110.35,,110.2206,0.0364
TSLA260918P00060000,2026-02-27 20:52:48+00:00,60.0,0.26,0.21,0.3,10.0,226,0,105.27,,105.5902,0.0364
TSLA260918P00070000,2026-03-04 19:47:00+00:00,70.0,0.35,0.31,0.42,7.0,413,0,101.12,405.1,101.8796,0.0364
TSLA260918P00080000,2026-03-03 15:43:11+00:00,80.0,0.56,0.41,0.56,9.0,562,0,96.97,385.54,97.6301,0.0364
TSLA260918P00090000,2026-03-05 16:15:20+00:00,90.0,0.6,0.61,0.67,44.0,2596,0,93.55,405.2388,94.2506,0.0364
TSLA260918P00100000,2026-03-04 19:17:07+00:00,100.0,0.74,0.74,0.84,3.0,1427,0,89.84,406.35,90.4841,0.0364
TSLA260918P00110000,2026-03-04 19:47:00+00:00,110.0,0.91,0.84,1.06,3.0,521,0,86.3,405.1,87.1041,0.0364
TSLA260918P00115000,2026-03-03 16:24:43+00:00,115.0,1.12,0.92,1.16,1.0,261,0,84.67,392.6912,85.2287,0.0364
TSLA260918P00120000,2026-03-04 19:11:21+00:00,120.0,1.08,1.07,1.14,11.0,1653,0,82.74,405.78,83.896,0.0364
TSLA260918P00125000,2026-03-02 14:30:02+00:00,125.0,1.28,1.13,1.24,15.0,181,0,81.01,389.445,80.9336,0.0364
TSLA260918P00130000,2026-02-19 15:33:50+00:00,130.0,1.38,1.24,1.34,4.0,483,0,79.57,,79.41,0.0364
TSLA260918P00135000,2026-03-04 19:17:07+00:00,135.0,1.35,1.34,1.44,1.0,158,0,78.05,406.35,79.2296,0.0364
TSLA260918P00140000,2026-02-26 18:28:43+00:00,140.0,1.53,1.46,1.56,4.0,445,0,76.71,,77.2353,0.0364
TSLA260918P00145000,2026-03-03 15:23:47+00:00,145.0,1.96,1.58,1.67,1.0,145,0,75.32,388.72,76.8454,0.0364
TSLA260918P00150000,2026-03-05 14:40:13+00:00,150.0,1.73,1.7,1.8,3.0,1416,0,74.0,404.36,75.3204,0.0364
TSLA260918P00155000,2026-03-03 16:07:05+00:00,155.0,2.15,1.83,1.93,2.0,251,0,72.68,391.23,73.8169,0.0364
TSLA260918P00160000,2026-03-03 15:30:30+00:00,160.0,2.51,1.97,2.08,11.0,317,0,71.47,388.27,73.3122,0.0364
TSLA260918P00165000,2026-02-20 15:26:48+00:00,165.0,2.2,2.11,2.22,2.0,262,0,70.2,,69.9129,0.0364
TSLA260918P00170000,2026-03-04 19:18:16+00:00,170.0,2.24,2.27,2.36,1.0,3663,0,68.98,406.3301,70.1842,0.0364
TSLA260918P00175000,2026-03-04 19:18:16+00:00,175.0,2.41,2.43,2.52,1.0,1737,0,67.8,406.3301,69.1,0.0364
TSLA260918P00180000,2026-03-05 20:23:17+00:00,180.0,2.77,2.6,2.69,2.0,954,0,66.65,403.41,68.7185,0.0364
TSLA260918P00185000,2026-02-24 18:47:19+00:00,185.0,2.82,2.78,2.88,1.0,571,0,65.55,,65.8212,0.0364
TSLA260918P00190000,2026-03-05 16:38:45+00:00,190.0,3.25,2.98,3.1,4.0,546,0,64.55,406.53,67.3902,0.0364
TSLA260918P00195000,2026-03-04 18:32:12+00:00,195.0,3.15,3.15,3.35,4.0,499,0,63.51,405.015,64.6071,0.0364
TSLA260918P00200000,2026-03-04 20:37:58+00:00,200.0,3.34,3.4,3.55,55.0,3684,0,62.51,408.04,63.9782,0.0364
TSLA260918P00210000,2026-03-04 16:13:15+00:00,210.0,4.0,3.9,4.1,22.0,1090,0,60.7,401.765,61.7461,0.0364
TSLA260918P00220000,2026-03-05 19:52:54+00:00,220.0,4.93,4.55,4.7,63.0,855,0,59.07,401.105,61.1576,0.0364
TSLA260918P00230000,2026-03-05 16:47:54+00:00,230.0,5.35,5.3,5.45,22.0,1237,0,57.63,406.63,59.6255,0.0364
TSLA260918P00240000,2026-03-05 20:57:25+00:00,240.0,6.25,6.15,6.3,24.0,1227,0,56.25,405.59,58.2784,0.0364
TSLA260918P00250000,2026-03-05 18:18:13+00:00,250.0,7.51,7.15,7.3,5.0,5148,0,55.01,401.21,56.8642,0.0364
TSLA260918P00260000,2026-03-04 18:54:58+00:00,260.0,9.08,8.3,8.45,1.0,3729,0,53.86,405.5086,57.2136,0.0364
TSLA260918P00270000,2026-03-05 20:53:30+00:00,270.0,9.75,9.6,9.8,155.0,2837,0,52.82,404.75,54.8936,0.0364
TSLA260918P00280000,2026-03-05 20:36:24+00:00,280.0,11.4,11.15,11.3,15.0,2805,0,51.87,404.14,54.0892,0.0364
TSLA260918P00290000,2026-03-05 19:41:53+00:00,290.0,12.9,12.9,13.05,615.0,2236,0,51.02,400.4467,52.1093,0.0364
TSLA260918P00300000,2026-03-05 20:34:26+00:00,300.0,15.13,14.85,15.0,307.0,5828,0,50.19,403.9588,52.5152,0.0364
TSLA260918P00310000,2026-03-05 19:32:07+00:00,310.0,18.35,17.05,17.2,164.0,2114,0,49.54,400.87,52.433,0.0364
TSLA260918P00320000,2026-03-05 20:27:55+00:00,320.0,20.15,19.45,19.65,525.0,3654,0,48.82,403.49,51.5278,0.0364
TSLA260918P00330000,2026-03-05 20:39:07+00:00,330.0,22.7,22.2,22.4,49.0,1941,0,48.19,403.61,50.7554,0.0364
TSLA260918P00340000,2026-03-05 20:44:26+00:00,340.0,26.0,25.2,25.4,530.0,1907,0,47.57,403.78,50.5861,0.0364
TSLA260918P00345000,2026-03-05 19:28:17+00:00,345.0,28.4,26.8,27.05,16.0,556,0,47.32,401.22,50.4652,0.0364
TSLA260918P00350000,2026-03-05 20:54:02+00:00,350.0,29.0,28.5,28.7,164.0,4870,0,47.0,404.75,50.0498,0.0364
TSLA260918P00355000,2026-03-05 20:27:10+00:00,355.0,30.9,30.25,30.5,11.0,760,0,46.76,403.49,49.6211,0.0364
TSLA260918P00360000,2026-03-05 20:59:34+00:00,360.0,32.15,32.1,32.35,16.0,4225,0,46.51,405.4013,49.3752,0.0364
TSLA260918P00365000,2026-03-05 20:24:35+00:00,365.0,35.1,34.05,34.3,115.0,230,0,46.28,404.3102,49.8792,0.0364
TSLA260918P00370000,2026-03-05 20:39:51+00:00,370.0,36.9,36.0,36.25,11.0,3052,0,45.99,403.61,49.2958,0.0364
TSLA260918P00375000,2026-03-05 20:49:56+00:00,375.0,38.65,38.1,38.35,14.0,443,0,45.78,404.59,49.117,0.0364
TSLA260918P00380000,2026-03-05 18:54:51+00:00,380.0,41.19,40.25,40.55,35.0,4134,0,45.59,400.3464,47.9586,0.0364
TSLA260918P00385000,2026-03-05 15:10:56+00:00,385.0,43.19,42.5,42.8,9.0,256,0,45.38,405.58,49.2515,0.0364
TSLA260918P00390000,2026-03-05 18:38:13+00:00,390.0,47.05,44.85,45.15,8.0,2412,0,45.19,400.7,48.9025,0.0364
TSLA260918P00395000,2026-03-05 20:49:56+00:00,395.0,47.8,47.25,47.55,34.0,438,0,44.99,404.59,48.6228,0.0364
TSLA260918P00400000,2026-03-05 20:59:34+00:00,400.0,49.94,49.75,50.05,75.0,3954,0,44.81,405.4013,48.5048,0.0364
TSLA260918P00405000,2026-03-05 20:49:56+00:00,405.0,53.0,52.3,52.65,46.0,974,0,44.65,404.59,48.5711,0.0364
TSLA260918P00410000,2026-03-05 19:58:17+00:00,410.0,57.6,55.0,55.25,21.0,1733,1,44.44,400.66,48.7301,0.0364
TSLA260918P00415000,2026-03-05 18:04:58+00:00,415.0,58.48,57.7,58.05,12.0,173,1,44.33,401.63,47.3995,0.0364
TSLA260918P00420000,2026-03-05 18:38:25+00:00,420.0,63.15,60.5,60.8,2.0,2132,1,44.12,400.7,48.5556,0.0364
TSLA260918P00425000,2026-03-04 19:08:03+00:00,425.0,62.95,63.4,63.75,3.0,98,1,44.03,406.04,47.8726,0.0364
TSLA260918P00430000,2026-03-05 15:12:10+00:00,430.0,66.52,66.35,66.65,4.0,1864,1,43.83,405.91,48.4139,0.0364
TSLA260918P00435000,2026-03-05 18:39:13+00:00,435.0,72.45,69.4,69.7,59.0,709,1,43.7,400.3301,48.5558,0.0364
TSLA260918P00440000,2026-03-05 20:37:53+00:00,440.0,73.41,72.5,72.8,15.0,2832,1,43.56,404.28,48.3956,0.0364
TSLA260918P00445000,2026-02-26 17:18:46+00:00,445.0,77.05,75.65,76.0,12.0,174,1,43.44,,48.6334,0.0364
TSLA260918P00450000,2026-03-05 19:57:59+00:00,450.0,79.88,78.95,79.25,24.0,1706,1,43.31,400.8065,46.8663,0.0364
TSLA260918P00455000,2026-03-05 16:18:59+00:00,455.0,82.75,82.25,82.6,6.0,59,1,43.22,404.8601,48.3502,0.0364
TSLA260918P00460000,2026-03-05 16:23:14+00:00,460.0,85.6,85.6,85.95,12.0,1708,1,43.07,405.6099,48.2908,0.0364
TSLA260918P00465000,2026-03-03 19:24:02+00:00,465.0,97.45,89.05,89.45,6.0,64,1,43.0,392.09,48.686,0.0364
TSLA260918P00470000,2026-03-05 19:59:23+00:00,470.0,96.0,92.55,92.9,12.0,590,1,42.83,400.435,48.8229,0.0364
TSLA260918P00475000,2026-03-04 19:21:09+00:00,475.0,95.75,96.1,96.45,6.0,178,1,42.7,406.12,48.3467,0.0364
TSLA260918P00480000,2026-03-02 14:56:23+00:00,480.0,99.35,99.55,100.5,2.0,2077,1,42.97,395.745,42.4741,0.0364
TSLA260918P00485000,2026-03-04 15:20:20+00:00,485.0,104.25,102.8,104.55,1.0,40,1,43.19,405.125,49.0335,0.0364
TSLA260918P00490000,2026-03-05 17:12:27+00:00,490.0,106.9,106.55,108.2,1.0,185,1,43.01,406.33,48.9314,0.0364
TSLA260918P00495000,2026-03-03 14:46:21+00:00,495.0,120.86,110.3,112.05,2.0,11,1,42.97,392.6108,50.1507,0.0364
TSLA260918P00500000,2026-03-05 16:13:13+00:00,500.0,114.75,114.35,115.65,2.0,820,1,42.64,406.35,49.3796,0.0364
TSLA260918P00505000,2026-01-27 17:48:50+00:00,505.0,108.71,118.0,119.75,,3,1,42.74,,37.765,0.0364
TSLA260918P00510000,2026-01-23 16:32:39+00:00,510.0,104.95,121.95,123.7,1.0,80,1,42.65,,30.5112,0.0364
TSLA260918P00520000,2026-03-02 18:47:26+00:00,520.0,134.36,129.75,131.8,1.0,360,1,42.54,400.65,49.6529,0.0364
TSLA260918P00530000,2026-03-05 15:52:53+00:00,530.0,137.75,137.9,139.95,1.0,155,1,42.31,406.3,49.3314,0.0364
TSLA260918P00540000,2026-02-06 16:32:08+00:00,540.0,147.85,146.25,148.3,1.0,40,1,42.12,,48.7649,0.0364
TSLA260918P00550000,2026-03-04 15:47:02+00:00,550.0,155.87,154.8,156.6,20.0,151,1,41.7,404.8225,50.2373,0.0364
TSLA260918P00560000,2026-01-12 17:14:41+00:00,560.0,140.55,154.25,156.45,6.0,153,1,26.86,,,0.0364
TSLA260918P00570000,2026-01-07 18:07:29+00:00,570.0,159.57,162.2,164.5,1.0,17,1,17.53,,34.4695,0.0364
TSLA260918P00580000,2026-01-30 17:00:26+00:00,580.0,165.59,180.8,183.0,2.0,52,1,41.24,,30.328,0.0364
TSLA260918P00590000,2026-02-17 14:42:23+00:00,590.0,188.0,189.75,192.05,9.0,29,1,41.12,,48.3658,0.0364
TSLA260918P00600000,2026-02-27 20:38:47+00:00,600.0,199.97,198.6,201.05,1.0,225,1,40.77,,52.7898,0.0364
TSLA260918P00610000,2026-02-23 15:08:00+00:00,610.0,210.65,207.85,210.35,3.0,59,1,40.76,,54.7757,0.0364
TSLA260918P00620000,2026-02-25 19:43:13+00:00,620.0,209.45,217.1,219.65,13.0,46,1,40.61,,42.3925,0.0364
