contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
AVGO270917P00155000,2026-03-02 15:53:35+00:00,155.0,10.0,8.0,10.7,2.0,29,0,53.88,314.545,56.1796,0.0362
AVGO270917P00160000,2026-02-10 15:20:54+00:00,160.0,9.8,9.5,11.45,,17,0,53.93,,55.1442,0.0362
AVGO270917P00170000,2026-03-04 20:49:38+00:00,170.0,11.59,10.8,13.35,1.0,6,0,52.73,316.76,53.572,0.0362
AVGO270917P00180000,2026-02-26 15:35:34+00:00,180.0,16.57,12.8,15.45,1.0,25,0,52.0,,58.7797,0.0362
AVGO270917P00185000,2026-03-04 20:49:38+00:00,185.0,14.67,14.55,16.75,1.0,17,0,52.19,316.76,52.6191,0.0362
AVGO270917P00190000,2026-01-27 18:49:55+00:00,190.0,15.95,15.0,17.85,1.0,7,0,51.36,,53.0915,0.0362
AVGO270917P00195000,2026-02-26 18:33:46+00:00,195.0,20.05,16.0,19.25,18.0,59,0,51.02,,57.6118,0.0362
AVGO270917P00200000,2026-03-05 17:52:25+00:00,200.0,17.32,17.7,20.4,15.0,39,0,50.88,330.77,52.8241,0.0362
AVGO270917P00210000,2026-03-03 20:47:25+00:00,210.0,23.05,20.0,23.2,3.0,4,0,50.1,313.955,53.1502,0.0362
AVGO270917P00220000,2026-02-26 15:12:14+00:00,220.0,27.7,22.9,26.3,3.0,220,0,51.26,,56.8224,0.0362
AVGO270917P00230000,2026-02-06 17:07:15+00:00,230.0,27.3,26.0,29.5,1.0,5,0,50.65,,52.1131,0.0362
AVGO270917P00240000,2026-02-26 17:41:40+00:00,240.0,35.2,29.4,33.0,14.0,101,0,50.14,,56.6638,0.0362
AVGO270917P00250000,2026-03-06 15:49:49+00:00,250.0,32.8,32.9,36.45,2.0,350,0,49.43,336.79,52.377,0.0362
AVGO270917P00260000,2026-03-06 19:21:14+00:00,260.0,36.2,37.95,40.15,2.0,831,0,48.78,339.78,52.3863,0.0362
AVGO270917P00270000,2026-02-26 19:53:26+00:00,270.0,46.6,41.1,44.6,88.0,184,0,48.56,,55.3158,0.0362
AVGO270917P00280000,2026-03-06 19:53:12+00:00,280.0,45.3,46.6,48.85,4.0,231,0,48.03,336.96,52.2596,0.0362
AVGO270917P00290000,2026-03-06 19:53:03+00:00,290.0,49.7,50.05,53.2,3.0,104,0,47.44,336.96,52.0752,0.0362
AVGO270917P00300000,2026-03-06 16:30:57+00:00,300.0,53.99,55.8,58.3,11.0,19,0,47.23,337.175,51.7178,0.0362
AVGO270917P00310000,2026-03-06 19:52:31+00:00,310.0,59.2,59.85,63.3,1.0,203,0,46.83,336.96,51.8109,0.0362
AVGO270917P00320000,2026-02-26 15:35:34+00:00,320.0,76.52,65.1,68.5,1.0,4,0,46.42,,58.3599,0.0362
AVGO270917P00330000,2026-03-02 15:33:20+00:00,330.0,79.47,70.6,73.95,1.0,36,0,46.06,312.48,52.3902,0.0362
AVGO270917P00340000,2026-03-02 18:34:18+00:00,340.0,83.91,76.25,79.6,8.0,9,1,45.71,315.32,52.0789,0.0362
AVGO270917P00350000,2026-02-25 20:03:08+00:00,350.0,84.95,82.1,85.45,5.0,8,1,45.36,,52.4328,0.0362
AVGO270917P00380000,2026-02-10 19:15:31+00:00,380.0,101.15,100.85,104.15,,1,1,44.4,,50.5645,0.0362
AVGO270917P00390000,2026-01-26 17:45:16+00:00,390.0,111.43,107.75,110.8,,0,1,44.13,,52.4699,0.0362
AVGO270917P00400000,2026-02-18 16:34:28+00:00,400.0,114.5,114.25,117.5,2.0,36,1,43.79,,51.0143,0.0362
AVGO270917P00410000,2026-02-13 15:48:49+00:00,410.0,129.25,121.15,124.5,2.0,27,1,43.54,,55.7491,0.0362
AVGO270917P00450000,2026-02-02 14:30:49+00:00,450.0,152.9,150.45,153.5,,1,1,42.25,,52.8789,0.0362
AVGO270917P00460000,2026-02-02 14:30:09+00:00,460.0,161.5,158.1,161.3,6.0,7,1,42.06,,53.703,0.0362
AVGO270917P00470000,2026-02-18 16:34:44+00:00,470.0,165.3,165.9,169.05,2.0,13,1,41.77,,51.9809,0.0362
AVGO270917P00480000,2026-02-02 14:30:08+00:00,480.0,177.05,173.8,176.95,6.0,7,1,41.49,,54.2101,0.0362
AVGO270917P00500000,2026-01-14 17:15:51+00:00,500.0,188.15,190.0,193.1,,1,1,40.93,,51.4441,0.0362
