contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
MSFT260327P00270000,2026-03-06 20:57:23+00:00,270.0,0.05,0.01,2.14,40.0,44,0,93.75,408.99,65.2716,0.0362
MSFT260327P00280000,2026-03-03 16:31:22+00:00,280.0,0.04,0.0,2.15,1.0,114,0,86.67,399.446,51.5856,0.0362
MSFT260327P00290000,2026-03-06 16:28:04+00:00,290.0,0.03,0.02,0.08,20.0,479,0,52.34,412.16,53.0173,0.0362
MSFT260327P00300000,2026-03-06 19:06:41+00:00,300.0,0.07,0.06,0.12,53.0,153,0,50.68,411.0317,52.4481,0.0362
MSFT260327P00310000,2026-03-06 19:24:59+00:00,310.0,0.11,0.14,0.19,30.0,81,0,50.29,409.81,49.6245,0.0362
MSFT260327P00320000,2026-03-06 15:51:33+00:00,320.0,0.22,0.24,0.31,1.0,68,0,48.49,409.83,48.6651,0.0362
MSFT260327P00325000,2026-03-06 14:59:29+00:00,325.0,0.3,0.32,0.39,13.0,101,0,47.51,410.615,48.4279,0.0362
MSFT260327P00330000,2026-03-06 19:41:42+00:00,330.0,0.36,0.42,0.49,32.0,1230,0,46.53,410.68,47.2705,0.0362
MSFT260327P00335000,2026-03-06 20:21:34+00:00,335.0,0.52,0.55,0.64,17.0,381,0,45.9,409.98,47.0404,0.0362
MSFT260327P00340000,2026-03-06 19:41:42+00:00,340.0,0.59,0.71,0.8,40.0,625,0,44.92,410.68,45.4621,0.0362
MSFT260327P00345000,2026-03-06 20:12:01+00:00,345.0,0.77,0.91,1.01,41.0,2810,0,44.09,410.45,44.6892,0.0362
MSFT260327P00350000,2026-03-06 20:34:25+00:00,350.0,1.15,1.15,1.26,59.0,3048,0,43.18,409.13,44.7219,0.0362
MSFT260327P00355000,2026-03-06 20:25:15+00:00,355.0,1.52,1.44,1.55,36.0,418,0,42.14,409.93,44.8288,0.0362
MSFT260327P00360000,2026-03-06 20:59:51+00:00,360.0,1.86,1.79,1.91,99.0,493,0,41.15,408.62,43.0143,0.0362
MSFT260327P00365000,2026-03-06 20:59:44+00:00,365.0,2.26,2.21,2.35,86.0,1902,0,40.17,408.62,41.8297,0.0362
MSFT260327P00370000,2026-03-06 20:54:42+00:00,370.0,2.59,2.71,2.87,228.0,796,0,39.14,409.46,40.4288,0.0362
MSFT260327P00375000,2026-03-06 20:53:59+00:00,375.0,3.25,3.3,3.45,326.0,931,0,37.9,408.955,39.3553,0.0362
MSFT260327P00380000,2026-03-06 20:54:10+00:00,380.0,3.95,4.0,4.2,208.0,1901,0,36.87,409.46,38.5771,0.0362
MSFT260327P00385000,2026-03-06 20:58:39+00:00,385.0,4.9,4.85,5.05,147.0,730,0,35.66,408.62,37.1817,0.0362
MSFT260327P00390000,2026-03-06 20:52:40+00:00,390.0,5.86,5.9,6.1,217.0,791,0,34.56,409.16,36.2779,0.0362
MSFT260327P00395000,2026-03-06 20:54:28+00:00,395.0,7.02,7.15,7.4,95.0,1524,0,33.61,409.46,35.274,0.0362
MSFT260327P00400000,2026-03-06 20:56:18+00:00,400.0,8.55,8.65,8.9,251.0,2456,0,32.54,409.13,34.11,0.0362
MSFT260327P00405000,2026-03-06 20:59:58+00:00,405.0,10.5,10.4,10.65,456.0,677,0,31.45,408.62,33.0788,0.0362
MSFT260327P00410000,2026-03-06 20:33:52+00:00,410.0,12.3,12.5,12.75,545.0,389,1,30.49,409.16,32.0547,0.0362
MSFT260327P00415000,2026-03-06 20:31:42+00:00,415.0,14.64,14.9,15.2,33.0,375,1,29.6,409.525,31.5516,0.0362
MSFT260327P00420000,2026-03-06 19:30:58+00:00,420.0,17.65,17.7,18.0,42.0,335,1,28.73,410.35,32.8116,0.0362
MSFT260327P00425000,2026-03-06 20:53:53+00:00,425.0,20.76,20.8,21.2,22.0,368,1,28.02,408.955,29.7687,0.0362
MSFT260327P00430000,2026-03-06 20:42:13+00:00,430.0,23.56,24.3,24.8,85.0,133,1,27.52,409.5895,28.4209,0.0362
MSFT260327P00435000,2026-03-06 18:37:19+00:00,435.0,27.39,28.1,28.75,27.0,142,1,27.23,409.9118,28.8388,0.0362
MSFT260327P00440000,2026-03-06 19:06:33+00:00,440.0,31.21,30.55,34.3,10.0,78,1,32.39,410.84,30.5887,0.0362
MSFT260327P00445000,2026-03-03 15:31:21+00:00,445.0,50.68,34.95,38.6,5.0,53,1,32.62,395.045,35.7443,0.0362
MSFT260327P00450000,2026-03-06 14:46:42+00:00,450.0,40.35,39.75,42.7,3.0,301,1,31.18,409.96,28.7852,0.0362
MSFT260327P00455000,2026-03-04 16:33:45+00:00,455.0,49.95,44.4,48.05,1.0,62,1,35.54,405.7538,35.0734,0.0362
MSFT260327P00460000,2026-03-06 18:20:21+00:00,460.0,49.1,49.7,52.25,2.0,2,1,33.42,410.98,31.8077,0.0362
MSFT260327P00465000,2026-03-06 14:31:51+00:00,465.0,54.0,54.4,57.2,2.0,0,1,35.36,410.673,30.808,0.0362
MSFT260327P00470000,2026-02-27 16:21:36+00:00,470.0,75.5,59.15,62.6,1.0,0,1,40.27,,80.5668,0.0362
MSFT260327P00475000,2026-03-03 14:56:30+00:00,475.0,79.7,64.2,67.75,2.0,0,1,43.47,394.88,40.6632,0.0362
MSFT260327P00480000,2026-03-02 20:43:26+00:00,480.0,82.75,69.15,72.9,2.0,0,1,46.64,397.175,44.5392,0.0362
MSFT260327P00485000,2026-02-19 20:36:14+00:00,485.0,89.3,74.2,77.9,10.0,0,1,48.84,,76.5564,0.0362
MSFT260327P00490000,2026-02-26 18:28:48+00:00,490.0,89.0,79.15,82.6,2.0,0,1,48.98,,72.5517,0.0362
MSFT260327P00500000,2026-02-27 20:20:56+00:00,500.0,105.85,89.15,92.7,5.0,0,1,53.8,,98.4897,0.0362
MSFT260327P00505000,2026-02-06 15:55:34+00:00,505.0,111.67,94.15,97.9,2.0,0,1,57.23,,79.1215,0.0362
MSFT260327P00515000,2026-03-06 20:32:07+00:00,515.0,107.15,104.2,107.7,671.0,40,1,59.7,409.23,67.2192,0.0362
MSFT260327P00520000,2026-02-20 18:18:26+00:00,520.0,123.47,109.15,112.75,3.0,0,1,61.99,,91.4044,0.0362
MSFT260327P00525000,2026-03-06 20:30:54+00:00,525.0,113.7,114.2,117.75,745.0,44,1,63.87,409.62,,0.0362
MSFT260327P00530000,2026-02-23 18:31:47+00:00,530.0,143.42,119.2,122.75,,0,1,65.71,,124.9729,0.0362
MSFT260327P00540000,2026-03-02 20:52:07+00:00,540.0,144.18,129.2,132.85,1.0,0,1,70.13,398.125,83.686,0.0362
