contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AAPL260717C00130000,2026-02-24 14:38:56+00:00,130.0,143.65,130.25,133.5,1.0,75,1,73.68,,119.2363,0.0364,
AAPL260717C00135000,2026-02-05 17:38:33+00:00,135.0,141.66,125.4,128.65,,128,1,71.33,,116.3327,0.0364,
AAPL260717C00140000,2026-02-05 17:34:13+00:00,140.0,136.76,120.55,123.75,,74,1,68.8,,111.5482,0.0364,
AAPL260717C00145000,2026-02-05 17:26:54+00:00,145.0,132.19,115.7,118.95,,27,1,66.63,,107.9212,0.0364,
AAPL260717C00150000,2026-03-06 14:44:18+00:00,150.0,107.88,110.85,114.1,2.0,12,1,64.27,255.51,44.5787,0.0364,34.78
AAPL260717C00160000,2026-03-05 16:29:47+00:00,160.0,103.85,101.25,104.45,1.0,32,1,59.99,260.755,47.8925,0.0364,31.39
AAPL260717C00165000,2026-02-11 17:57:45+00:00,165.0,117.98,96.45,99.4,10.0,720,1,57.26,,106.6098,0.0364,
AAPL260717C00170000,2026-03-05 20:28:54+00:00,170.0,92.5,91.7,94.95,20.0,34,1,56.07,258.82,45.8143,0.0364,31.82
AAPL260717C00175000,2026-02-04 16:07:00+00:00,175.0,104.55,87.25,89.8,1.0,88,1,53.89,,87.0225,0.0364,
AAPL260717C00180000,2026-02-27 19:41:20+00:00,180.0,89.75,82.9,84.95,3.0,140,1,52.49,,63.7429,0.0364,
AAPL260717C00185000,2026-02-27 19:37:09+00:00,185.0,85.35,77.95,80.4,1.0,71,1,50.42,,61.9963,0.0364,
AAPL260717C00190000,2026-03-04 15:30:00+00:00,190.0,78.7,73.45,75.65,108.0,224,1,52.31,264.08,40.8553,0.0364,29.4
AAPL260717C00195000,2026-03-06 17:28:22+00:00,195.0,67.5,69.75,70.6,2.0,766,1,49.05,256.775,40.638,0.0364,33.19
AAPL260717C00200000,2026-03-09 14:11:05+00:00,200.0,62.17,64.6,66.25,6.0,148,1,47.86,255.8799,39.954,0.0364,35.04
AAPL260717C00205000,2026-03-09 14:56:06+00:00,205.0,59.2,60.2,61.9,2.0,1313,1,46.51,257.3,39.4903,0.0364,33.48
AAPL260717C00210000,2026-03-06 15:08:38+00:00,210.0,53.48,56.4,57.2,1.0,750,1,44.15,255.28,38.7812,0.0364,34.32
AAPL260717C00215000,2026-03-09 15:08:08+00:00,215.0,50.55,51.6,53.05,11.0,438,1,43.05,256.9675,37.9704,0.0364,33.21
AAPL260717C00220000,2026-03-09 18:52:50+00:00,220.0,46.42,47.45,48.7,7.0,270,1,41.32,257.6,35.7513,0.0364,32.05
AAPL260717C00225000,2026-03-09 17:17:51+00:00,225.0,41.8,43.3,44.6,4.0,310,1,40.0,256.92,34.7629,0.0364,32.37
AAPL260717C00230000,2026-03-09 16:38:36+00:00,230.0,38.47,39.45,40.6,12.0,447,1,38.7,257.5978,34.0123,0.0364,32.22
AAPL260717C00235000,2026-03-09 15:01:34+00:00,235.0,34.58,35.55,36.65,48.0,302,1,37.31,257.3,33.3799,0.0364,33.28
AAPL260717C00240000,2026-03-09 17:34:26+00:00,240.0,30.35,32.3,32.85,3.0,1661,1,36.01,256.415,32.5791,0.0364,32.87
AAPL260717C00245000,2026-03-09 17:54:35+00:00,245.0,26.77,28.7,29.35,1.0,804,1,35.0,256.4,31.5109,0.0364,32.94
AAPL260717C00250000,2026-03-09 18:34:27+00:00,250.0,24.18,25.25,26.1,9.0,1484,1,34.17,257.73,30.43,0.0364,32.31
AAPL260717C00255000,2026-03-09 19:32:25+00:00,255.0,22.23,22.2,22.65,69.0,2399,1,32.74,260.0,29.34,0.0364,30.8
AAPL260717C00260000,2026-03-09 19:48:38+00:00,260.0,19.5,19.3,19.5,111.0,3265,0,31.53,260.025,29.0238,0.0364,30.97
