contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
QQQ280121P00295000,2026-03-09 19:40:56+00:00,295.0,6.3,4.8,8.5,492.0,513,0,38.51,607.56,38.7429,0.0364,27.55
QQQ280121P00300000,2026-03-09 20:04:34+00:00,300.0,6.6,6.26,6.55,1.0,1352,0,35.41,607.755,38.4482,0.0364,27.58
QQQ280121P00305000,2026-01-14 15:47:04+00:00,305.0,5.77,4.67,9.0,10.0,45,0,37.54,,35.4344,0.0364,
QQQ280121P00310000,2026-03-04 16:38:53+00:00,310.0,6.95,4.5,9.5,5.0,38,0,37.33,610.73,37.5396,0.0364,24.58
QQQ280121P00315000,2026-02-10 16:28:12+00:00,315.0,6.55,5.0,10.0,4.0,34,0,37.09,,35.6927,0.0364,
QQQ280121P00320000,2025-12-29 20:03:22+00:00,320.0,6.6,5.87,8.42,20.0,12,0,34.74,,34.2521,0.0364,
QQQ280121P00325000,2026-02-17 18:59:38+00:00,325.0,7.96,5.5,10.5,1.0,114,0,36.1,,36.1925,0.0364,
QQQ280121P00330000,2026-02-19 16:36:01+00:00,330.0,8.18,6.0,11.0,1.0,37,0,35.84,,35.8038,0.0364,
QQQ280121P00335000,2026-03-09 17:33:25+00:00,335.0,9.39,6.0,11.0,6.0,8,0,35.12,598.6,36.2504,0.0364,30.57
QQQ280121P00340000,2026-02-05 15:44:11+00:00,340.0,10.0,6.5,11.5,1.0,1002,0,34.85,,36.0477,0.0364,
QQQ280121P00345000,2026-02-27 15:00:15+00:00,345.0,9.55,7.0,12.0,37.0,149,0,34.56,,35.3912,0.0364,
QQQ280121P00350000,2026-03-09 19:58:53+00:00,350.0,9.9,7.5,12.2,452.0,31540,0,34.03,608.05,35.2974,0.0364,27.47
QQQ280121P00355000,2026-02-23 15:01:28+00:00,355.0,10.68,8.0,13.0,16.0,268,0,33.97,,35.0501,0.0364,
QQQ280121P00360000,2026-02-06 15:24:19+00:00,360.0,10.5,8.5,13.5,8.0,36,0,33.66,,33.8962,0.0364,
QQQ280121P00365000,2026-02-27 15:16:50+00:00,365.0,11.45,9.0,14.0,31.0,117,0,33.34,,34.493,0.0364,
QQQ280121P00370000,2026-02-12 14:53:35+00:00,370.0,10.83,9.5,14.5,2.0,35,0,33.01,,33.0194,0.0364,
QQQ280121P00375000,2026-02-27 15:21:04+00:00,375.0,12.75,10.15,14.5,32.0,128,0,32.32,,34.2602,0.0364,
QQQ280121P00380000,2026-03-03 15:26:41+00:00,380.0,14.3,10.5,15.5,3.0,319,0,32.34,,34.8888,0.0364,
QQQ280121P00385000,2026-02-20 16:07:13+00:00,385.0,12.71,11.0,16.0,28.0,1038,0,31.99,,32.7998,0.0364,
QQQ280121P00390000,2026-02-25 20:45:27+00:00,390.0,13.38,11.5,16.5,66.0,32,0,31.64,,32.7711,0.0364,
QQQ280121P00395000,2026-03-09 17:02:30+00:00,395.0,15.0,12.0,17.0,1.0,99,0,31.28,600.22,33.0279,0.0364,29.65
QQQ280121P00400000,2026-03-09 19:37:53+00:00,400.0,15.12,13.0,17.5,31.0,33808,0,30.91,608.38,33.0187,0.0364,27.56
QQQ280121P00405000,2026-03-09 16:26:06+00:00,405.0,16.67,13.0,18.0,1.0,270,0,30.54,601.28,32.9379,0.0364,29.51
QQQ280121P00410000,2026-03-05 16:10:05+00:00,410.0,15.95,14.0,19.0,1.0,57,0,30.46,607.265,32.1476,0.0364,26.65
QQQ280121P00415000,2026-03-05 20:55:51+00:00,415.0,16.67,14.5,19.5,1.0,26,0,30.08,608.24,32.0545,0.0364,26.23
QQQ280121P00420000,2026-03-09 14:15:00+00:00,420.0,19.63,15.0,20.0,4.0,143,0,29.69,592.27,32.1718,0.0364,33.4
