contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
XLE260331C00027500,2026-02-19 20:24:17+00:00,27.5,27.5,26.7,30.95,1.0,1.0,1,96.88,,,0.0364
XLE260331C00030000,2025-12-18 20:22:03+00:00,30.0,14.44,18.75,22.7,,1.0,1,0.0,,,0.0364
XLE260331C00032500,2025-12-08 05:03:03+00:00,32.5,11.55,,,,,1,0.0,,,0.0364
XLE260331C00035000,2026-02-23 15:36:33+00:00,35.0,20.15,19.25,23.45,4.0,36.0,1,81.25,,,0.0364
XLE260331C00037000,2026-01-27 15:43:25+00:00,37.0,12.74,17.3,21.45,1.0,12.0,1,78.91,,,0.0364
XLE260331C00037500,2026-02-27 15:03:38+00:00,37.5,17.73,16.8,20.95,2.0,16.0,1,76.56,,,0.0364
XLE260331C00038000,2025-12-08 05:03:03+00:00,38.0,9.45,,,,,1,0.0,,,0.0364
XLE260331C00038500,2026-02-06 19:24:08+00:00,38.5,14.7,15.75,19.95,4.0,6.0,1,66.41,,,0.0364
XLE260331C00039000,2025-12-08 05:03:03+00:00,39.0,6.21,,,,,1,0.0,,,0.0364
XLE260331C00039500,2025-12-16 15:03:41+00:00,39.5,5.43,9.4,13.35,4.0,4.0,1,0.0,,,0.0364
XLE260331C00040000,2026-03-02 16:19:01+00:00,40.0,17.0,14.45,18.65,3.0,389.0,1,84.77,,95.1835,0.0364
XLE260331C00042500,2026-03-09 17:31:43+00:00,42.5,14.22,12.45,15.7,10.0,922.0,1,73.93,56.445,72.6328,0.0364
XLE260331C00043000,2026-01-30 15:30:39+00:00,43.0,7.83,11.25,15.5,4.0,3257.0,1,53.52,,,0.0364
XLE260331C00043500,2026-03-09 17:31:43+00:00,43.5,13.17,11.05,14.15,6.0,300.0,1,111.62,56.445,63.3899,0.0364
XLE260331C00044000,2026-03-09 17:31:43+00:00,44.0,12.67,10.55,14.6,6.0,519.0,1,66.5,56.445,60.9903,0.0364
XLE260331C00044500,2026-02-11 20:27:54+00:00,44.5,10.45,10.15,14.0,4.0,111.0,1,64.06,,,0.0364
XLE260331C00045000,2026-03-09 17:31:43+00:00,45.0,11.82,9.2,13.8,10.0,7143.0,1,57.03,56.445,66.487,0.0364
XLE260331C00045500,2026-02-25 20:53:33+00:00,45.5,9.42,9.0,13.0,2.0,572.0,1,54.69,,,0.0364
XLE260331C00046000,2026-03-06 15:02:53+00:00,46.0,11.1,8.0,12.5,2.0,191.0,1,117.43,56.37,71.2234,0.0364
XLE260331C00046500,2026-03-04 16:56:43+00:00,46.5,8.25,7.5,11.25,2.0,262.0,1,94.38,55.9249,,0.0364
XLE260331C00047000,2026-03-02 20:01:11+00:00,47.0,10.05,7.0,11.55,1.0,208.0,1,111.28,,60.466,0.0364
XLE260331C00047500,2026-03-09 17:00:53+00:00,47.5,9.39,6.5,10.0,5.0,532.0,1,81.01,56.565,51.4592,0.0364
XLE260331C00048000,2026-03-09 16:55:38+00:00,48.0,8.3,6.0,10.7,2.0,132.0,1,107.37,56.58,,0.0364
XLE260331C00048500,2026-03-09 17:03:15+00:00,48.5,8.47,5.5,10.05,10.0,139.0,1,100.24,56.53,51.8319,0.0364
XLE260331C00049000,2026-03-09 17:00:13+00:00,49.0,7.92,5.0,9.6,5.0,70.0,1,97.71,56.565,45.6095,0.0364
XLE260331C00049500,2026-02-25 14:30:23+00:00,49.5,6.2,4.55,9.15,1.0,235.0,1,95.12,,,0.0364
XLE260331C00050000,2026-03-06 15:34:58+00:00,50.0,6.83,4.8,7.0,5.0,1692.0,1,52.0,56.735,,0.0364
XLE260331C00050500,2026-03-09 16:48:12+00:00,50.5,6.31,3.9,6.55,1.0,395.0,1,50.54,56.605,30.6029,0.0364
XLE260331C00051000,2026-03-09 18:28:31+00:00,51.0,5.3,3.05,6.2,4.0,970.0,1,51.47,56.6,,0.0364
XLE260331C00051500,2026-03-02 19:33:10+00:00,51.5,5.78,3.2,7.2,1.0,0.0,1,81.2,,43.1206,0.0364
XLE260331C00052000,2026-03-03 14:30:01+00:00,52.0,6.7,2.69,6.8,1.0,2.0,1,79.44,,69.285,0.0364
XLE260331C00052500,2026-03-09 16:42:53+00:00,52.5,4.53,2.91,5.3,3.0,336.0,1,55.35,56.62,30.4144,0.0364
XLE260331C00053000,2026-03-05 17:47:19+00:00,53.0,3.5,2.04,5.9,2.0,8.0,1,73.63,56.195,19.9082,0.0364
XLE260331C00053500,2026-02-23 15:21:02+00:00,53.5,3.4,2.16,4.75,1.0,2.0,1,57.18,,20.8045,0.0364
XLE260331C00054000,2026-03-06 16:15:36+00:00,54.0,3.27,0.71,5.2,1.0,7.0,1,71.29,56.59,27.135,0.0364
XLE260331C00054500,2026-03-09 15:34:04+00:00,54.5,3.09,0.31,5.0,5.0,35.0,1,72.63,56.775,30.2544,0.0364
XLE260331C00055000,2026-03-09 19:50:47+00:00,55.0,2.05,1.31,2.7,130.0,3729.0,1,35.35,55.98,26.9655,0.0364
XLE260331C00055500,2026-03-09 14:57:59+00:00,55.5,2.66,0.8,2.46,3.0,63.0,1,36.16,57.09,30.7436,0.0364
XLE260331C00056000,2026-03-09 15:32:33+00:00,56.0,1.98,0.52,1.79,19.0,714.0,1,28.91,56.785,27.313,0.0364
XLE260331C00056500,2026-03-09 19:20:51+00:00,56.5,1.28,0.1,4.5,70.0,321.0,0,81.4,56.75,19.9619,0.0364
XLE260331C00057000,2026-03-09 20:01:24+00:00,57.0,1.19,0.26,2.03,287.0,908.0,0,41.5,56.3259,26.6731,0.0364
XLE260331C00057500,2026-03-09 19:23:11+00:00,57.5,1.11,0.01,1.25,24.0,1081.0,0,31.2,56.51,27.4916,0.0364
XLE260331C00058000,2026-03-09 19:37:13+00:00,58.0,0.7,0.13,0.87,253.0,128.0,0,27.42,55.99,26.56,0.0364
XLE260331C00058500,2026-03-09 14:13:37+00:00,58.5,0.46,0.01,1.25,3.0,130.0,0,37.72,56.505,20.9755,0.0364
XLE260331C00059000,2026-03-09 19:11:46+00:00,59.0,0.76,0.13,1.3,39.0,34.0,0,41.7,56.645,29.5321,0.0364
XLE260331C00059500,2026-03-05 20:57:03+00:00,59.5,0.63,0.0,2.77,10.0,38.0,0,71.97,56.53,27.6516,0.0364
XLE260331C00060000,2026-03-09 19:36:01+00:00,60.0,0.39,0.15,0.58,109.0,1214.0,0,32.18,56.1,29.1835,0.0364
XLE260331C00061000,2026-03-09 19:46:56+00:00,61.0,0.25,0.0,0.52,69.0,4328.0,0,35.3,56.21,28.7076,0.0364
XLE260331C00062000,2026-03-09 19:01:51+00:00,62.0,0.23,0.0,0.93,56.0,184.0,0,49.66,56.69,29.7877,0.0364
XLE260331C00063000,2026-03-09 14:31:17+00:00,63.0,0.2,0.0,0.95,23.0,318.0,0,54.59,56.69,32.1929,0.0364
XLE260331C00064000,2026-03-09 17:33:36+00:00,64.0,0.15,0.01,0.32,2.0,313.0,0,41.11,56.395,34.5764,0.0364
XLE260331C00065000,2026-03-05 18:30:37+00:00,65.0,0.13,0.0,0.81,1.0,21.0,0,59.47,56.36,33.7029,0.0364
XLE260331C00070000,2025-11-17 14:57:08+00:00,70.0,22.2,0.0,0.0,1.0,16.0,0,25.0,,197.783,0.0364
XLE260331C00074000,2025-11-17 18:13:37+00:00,74.0,18.74,0.0,0.0,1.0,6.0,0,25.0,,177.4903,0.0364
XLE260331C00075000,2025-12-01 14:31:29+00:00,75.0,16.5,0.0,0.0,3.0,9.0,0,25.0,,171.4195,0.0364
XLE260331C00076000,2025-09-26 14:22:25+00:00,76.0,18.9,16.35,18.2,2.0,3.0,0,412.01,,153.7217,0.0364
XLE260331C00077000,2025-08-27 17:33:40+00:00,77.0,14.4,16.9,17.4,51.0,1.0,0,413.53,,116.9374,0.0364
XLE260331C00078000,2025-07-31 19:36:06+00:00,78.0,12.42,12.35,16.45,,0.0,0,367.8,,100.32,0.0364
XLE260331C00079000,2025-07-31 19:35:30+00:00,79.0,11.71,11.55,15.65,,0.0,0,357.23,,97.593,0.0364
XLE260331C00080000,2025-12-04 14:33:28+00:00,80.0,13.2,0.0,0.0,1.0,193.0,0,25.0,,155.7619,0.0364
XLE260331C00085000,2025-12-04 18:20:53+00:00,85.0,8.98,0.0,0.0,16.0,682.0,0,25.0,,130.0394,0.0364
XLE260331C00086000,2025-12-03 14:48:36+00:00,86.0,7.49,0.0,0.0,5.0,1626.0,0,50.0,,118.7945,0.0364
XLE260331C00087000,2025-12-04 16:43:37+00:00,87.0,7.57,0.0,0.0,3.0,170.0,0,50.0,,121.3885,0.0364
XLE260331C00088000,2025-12-04 15:07:19+00:00,88.0,6.76,0.0,0.0,1.0,55.0,0,50.0,,116.0073,0.0364
XLE260331C00089000,2025-11-28 16:43:01+00:00,89.0,5.43,0.0,0.0,1.0,40.0,0,50.0,,103.324,0.0364
XLE260331C00090000,2025-12-04 16:44:40+00:00,90.0,5.53,0.0,0.0,2.0,3199.0,0,50.0,,108.1595,0.0364
XLE260331C00091000,2025-12-03 15:37:17+00:00,91.0,4.68,0.0,0.0,2.0,160.0,0,50.0,,101.3878,0.0364
XLE260331C00092000,2025-12-04 14:43:40+00:00,92.0,4.4,0.0,0.0,6.0,71.0,0,50.0,,100.4543,0.0364
XLE260331C00093000,2025-12-04 20:51:29+00:00,93.0,3.87,0.0,0.0,28.0,129.0,0,50.0,,96.7467,0.0364
XLE260331C00094000,2025-12-03 15:45:21+00:00,94.0,3.1,0.0,0.0,13.0,61.0,0,50.0,,89.7512,0.0364
XLE260331C00095000,2025-12-04 20:54:23+00:00,95.0,2.95,0.0,0.0,10.0,241.0,0,50.0,,89.757,0.0364
XLE260331C00096000,2025-12-03 15:25:40+00:00,96.0,2.23,0.0,0.0,6.0,12.0,0,50.0,,82.4157,0.0364
XLE260331C00097000,2025-11-20 15:53:22+00:00,97.0,2.42,0.0,0.0,1.0,16.0,0,50.0,,81.1055,0.0364
XLE260331C00098000,2025-11-28 16:58:18+00:00,98.0,1.57,0.0,0.0,1.0,6.0,0,50.0,,74.5668,0.0364
XLE260331C00099000,2025-11-12 16:22:04+00:00,99.0,1.85,0.0,0.0,4.0,20.0,0,50.0,,74.2088,0.0364
XLE260331C00100000,2025-12-03 17:31:59+00:00,100.0,1.4,0.0,0.0,7.0,412.0,0,50.0,,75.672,0.0364
XLE260331C00101000,2025-12-04 20:54:23+00:00,101.0,1.24,0.0,0.0,5.0,9.0,0,50.0,,74.5707,0.0364
XLE260331C00102000,2025-11-12 16:13:17+00:00,102.0,1.16,0.0,0.0,4.0,60.0,0,50.0,,67.8022,0.0364
XLE260331C00105000,2025-12-04 17:49:44+00:00,105.0,0.56,0.0,0.0,1.0,118.0,0,50.0,,65.2489,0.0364
XLE260331C00110000,2025-11-14 19:41:27+00:00,110.0,0.53,0.0,0.0,1.0,1507.0,0,50.0,,62.8426,0.0364
XLE260331C00115000,2025-10-02 19:00:02+00:00,115.0,0.25,0.16,0.48,4.0,8.0,0,148.93,,50.2281,0.0364
