contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
AMZN260304C00140000,2026-02-17 14:50:05+00:00,140.0,57.51,,0,210.085,34.72,74.3,77.8,3.5,15.257,c
AMZN260304C00145000,2026-02-17 14:50:05+00:00,145.0,52.53,,0,210.085,34.72,69.4,72.9,3.5,15.257,c
AMZN260304C00160000,2026-02-20 18:34:49+00:00,160.0,49.9,5.0,5,216.49,35.29,54.45,57.9,3.45,12.101,c
AMZN260304C00165000,2026-02-23 14:35:00+00:00,165.0,42.6,7.0,7,210.085,34.72,49.5,52.9,3.4,9.267,c
AMZN260304C00177500,2026-02-20 15:01:10+00:00,177.5,29.75,1.0,1,210.085,34.72,37.0,40.4,3.4,12.249,c
AMZN260304C00180000,2026-03-03 20:44:11+00:00,180.0,28.68,5.0,5,208.69,37.71,34.4,37.85,3.45,1.011,c
AMZN260304C00182500,2026-03-03 20:44:11+00:00,182.5,26.25,2.0,6,208.69,37.71,31.9,35.4,3.5,1.011,c
AMZN260304C00185000,2026-03-04 14:40:07+00:00,185.0,26.28,3.0,25,210.67,37.05,29.4,32.8,3.4,0.264,c
AMZN260304C00187500,2026-02-24 15:54:08+00:00,187.5,20.35,18.0,49,210.085,34.72,26.9,30.3,3.4,8.212,c
AMZN260304C00190000,2026-03-04 15:06:07+00:00,190.0,24.93,9.0,62,214.86,36.3,24.9,26.8,1.9,0.246,c
AMZN260304C00192500,2026-03-04 16:08:47+00:00,192.5,23.4,1400.0,1421,216.07,34.97,22.65,24.8,2.15,0.202,c
AMZN260304C00195000,2026-03-04 16:35:48+00:00,195.0,20.65,1060.0,1151,215.625,35.06,20.95,22.45,1.5,0.183,c
AMZN260304C00197500,2026-03-04 18:35:21+00:00,197.5,18.65,810.0,878,216.55,35.41,19.0,19.1,0.1,0.1,c
AMZN260304C00200000,2026-03-04 18:34:50+00:00,200.0,16.1,202.0,668,216.095,35.45,16.3,16.45,0.15,0.101,c
AMZN260304C00202500,2026-03-04 18:34:50+00:00,202.5,13.6,385.0,1095,216.095,35.45,14.05,14.2,0.15,0.101,c
AMZN260304C00205000,2026-03-04 18:19:09+00:00,205.0,10.77,691.0,1869,215.775,35.59,11.55,11.7,0.15,0.112,c
AMZN260304C00207500,2026-03-04 18:34:39+00:00,207.5,8.7,1542.0,4100,216.55,35.41,8.8,8.95,0.15,0.101,c
AMZN260304C00210000,2026-03-04 18:35:00+00:00,210.0,6.15,13064.0,4846,216.55,35.41,6.3,6.45,0.15,0.101,c
AMZN260304C00212500,2026-03-04 18:35:21+00:00,212.5,3.71,28315.0,4874,216.55,35.41,3.75,3.9,0.15,0.1,c
AMZN260304C00215000,2026-03-04 18:35:50+00:00,215.0,1.64,66183.0,7452,216.55,35.41,1.72,1.78,0.06,0.1,c
AMZN260304C00217500,2026-03-04 18:36:21+00:00,217.5,0.23,56942.0,2859,216.67,35.45,0.23,0.24,0.01,0.1,c
