contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,days_to_expire,optionType
AAPL260225C00205000,2026-02-25 18:39:39+00:00,205.0,69.35,3.0,9,274.37,27.64,2.4,0.097,c
AAPL260225C00210000,2026-02-24 20:08:18+00:00,210.0,62.0,2.0,8,271.84,28.97,2.55,1.036,c
AAPL260225C00220000,2026-02-23 19:11:04+00:00,220.0,48.09,1.0,0,267.7,28.6,1.85,2.076,c
AAPL260225C00225000,2026-02-25 19:18:52+00:00,225.0,49.67,1.0,26,274.67,27.59,1.45,0.07,c
AAPL260225C00230000,2026-02-20 20:37:19+00:00,230.0,33.52,1.0,19,263.19,28.79,2.1,5.016,c
AAPL260225C00235000,2026-02-24 20:52:15+00:00,235.0,37.12,3.0,19,272.2,28.79,2.1,1.005,c
AAPL260225C00240000,2026-02-25 16:13:08+00:00,240.0,34.38,120.0,4,274.03,27.64,1.75,0.199,c
AAPL260225C00242500,2026-02-13 15:19:15+00:00,242.5,18.37,,1,263.61,30.54,2.1,12.237,c
AAPL260225C00245000,2026-02-25 17:49:53+00:00,245.0,29.6,15.0,15,274.26,27.56,1.6,0.132,c
AAPL260225C00247500,2026-02-24 17:32:34+00:00,247.5,25.24,4.0,3,272.35,28.4,2.0,1.144,c
AAPL260225C00250000,2026-02-25 18:57:50+00:00,250.0,23.97,3.0,29,274.685,27.63,0.85,0.085,c
AAPL260225C00252500,2026-02-25 18:38:15+00:00,252.5,21.75,4.0,26,274.3,27.67,0.15,0.098,c
AAPL260225C00255000,2026-02-25 16:16:36+00:00,255.0,19.11,12.0,214,274.155,27.65,0.15,0.197,c
AAPL260225C00257500,2026-02-25 19:22:07+00:00,257.5,17.05,11.0,508,274.5,27.57,0.15,0.068,c
AAPL260225C00260000,2026-02-25 19:08:31+00:00,260.0,14.55,28.0,573,274.68,27.62,0.15,0.077,c
AAPL260225C00262500,2026-02-25 19:14:11+00:00,262.5,12.15,351.0,1306,274.83,27.63,0.15,0.073,c
AAPL260225C00265000,2026-02-25 19:19:28+00:00,265.0,9.77,546.0,1571,274.67,27.59,0.15,0.07,c
AAPL260225C00267500,2026-02-25 19:17:54+00:00,267.5,7.3,868.0,1329,274.815,27.58,0.15,0.071,c
AAPL260225C00270000,2026-02-25 19:21:25+00:00,270.0,4.6,3919.0,3606,274.595,27.58,0.2,0.068,c
AAPL260225C00272500,2026-02-25 19:22:40+00:00,272.5,2.11,31968.0,3660,274.505,27.57,0.07,0.068,c
